Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,34.65,34.86,34.06,34.46,6336900,0.0,0.0
2019-01-03,34.24,34.32,32.73,32.91,10488900,0.0,0.0
2019-01-04,33.42,34.4,33.42,34.21,8072500,0.0,0.0
2019-01-07,34.34,34.96,34.19,34.42,6473900,0.0,0.0
2019-01-08,34.9,35.51,34.57,35.38,10263700,0.0,0.0
2019-01-09,35.67,36.33,35.52,35.88,7518100,0.0,0.0
2019-01-10,35.68,35.99,35.37,35.95,5123600,0.0,0.0
2019-01-11,35.64,35.77,35.19,35.56,5494500,0.0,0.0
2019-01-14,35.27,35.57,35.08,35.31,3817400,0.0,0.0
2019-01-15,35.42,36.89,35.41,36.72,10873900,0.0,0.0
2019-01-16,36.74,36.87,36.47,36.62,5535800,0.0,0.0
2019-01-17,36.55,37.24,36.42,36.81,6405200,0.0,0.0
2019-01-18,37.13,37.77,36.67,37.69,9464800,0.0,0.0
2019-01-22,37.14,37.52,36.92,37.26,5865900,0.0,0.0
2019-01-23,37.46,37.61,36.69,37.19,3862700,0.0,0.0
2019-01-24,37.27,37.54,37.15,37.23,5939700,0.0,0.0
2019-01-25,37.41,37.7,37.3,37.45,3919200,0.0,0.0
2019-01-28,37.2,37.2,36.68,36.85,5259000,0.0,0.0
2019-01-29,36.83,37.11,36.59,37.01,8032700,0.0,0.0
2019-01-30,37.15,37.62,37.0,37.42,13212500,0.0,0.0
2019-01-31,37.47,38.24,37.4,38.15,10807100,0.0,0.0
2019-02-01,38.15,38.38,37.71,37.93,6005200,0.0,0.0
2019-02-04,37.84,38.05,37.59,37.93,6794000,0.0,0.0
2019-02-05,38.07,38.14,37.58,37.75,11034200,0.0,0.0
2019-02-06,37.3,39.02,37.25,38.77,11376600,0.0,0.0
2019-02-07,38.39,39.09,38.15,38.85,9183500,0.0,0.0
2019-02-08,38.44,39.23,38.39,39.19,6419700,0.0,0.0
2019-02-11,39.31,39.59,39.1,39.31,5842000,0.0,0.0
2019-02-12,39.5,40.33,39.42,40.04,7507300,0.0,0.0
2019-02-13,40.11,40.24,39.39,39.6,6236600,0.0,0.0
2019-02-14,39.5,40.07,39.36,39.92,5203300,0.0,0.0
2019-02-15,40.32,40.32,39.7,40.01,10376200,0.0,0.0
2019-02-19,40.03,40.19,39.79,39.86,4050700,0.0,0.0
2019-02-20,39.86,40.3,39.61,40.11,7687500,0.0,0.0
2019-02-21,39.94,40.22,39.84,40.12,8418000,0.0,0.0
2019-02-22,40.27,40.81,40.17,40.52,9321500,0.0,0.0
2019-02-25,40.65,40.75,39.99,39.99,12139000,0.0,0.0
2019-02-26,40.0,40.0,39.55,39.86,4397300,0.0,0.0
2019-02-27,39.64,40.12,39.6,39.93,5260200,0.0,0.0
2019-02-28,39.88,40.32,39.76,40.12,5797300,0.0,0.0
2019-03-01,40.48,40.9,40.14,40.75,5828000,0.0,0.0
2019-03-04,40.93,41.0,39.67,40.3,7911500,0.0,0.0
2019-03-05,40.31,40.48,40.02,40.19,4268700,0.0,0.0
2019-03-06,40.25,40.27,39.66,39.78,3914200,0.0,0.0
2019-03-07,39.75,39.91,39.36,39.59,4793400,0.0,0.0
2019-03-08,39.33,39.56,38.99,39.51,4583100,0.0,0.0
2019-03-11,39.72,39.98,39.51,39.9,4580100,0.0,0.0
2019-03-12,39.99,40.39,39.85,40.26,3474200,0.0,0.0
2019-03-13,40.42,40.77,40.13,40.23,6060500,0.0,0.0
2019-03-14,40.19,40.23,39.88,40.05,6345700,0.0,0.0
2019-03-15,40.11,40.67,40.07,40.21,9811700,0.0,0.0
2019-03-18,39.98,40.0,37.69,37.97,19132300,0.0,0.0
2019-03-19,38.12,38.53,37.61,38.17,10570100,0.0,0.0
2019-03-20,38.11,38.27,37.64,37.86,9626800,0.0,0.0
2019-03-21,37.71,38.26,37.62,38.15,8094300,0.0,0.0
2019-03-22,38.1,38.13,37.28,37.3,6679900,0.0,0.0
2019-03-25,37.3,37.82,37.1,37.64,8377900,0.0,0.0
2019-03-26,38.07,38.6,37.74,37.84,7302500,0.0,0.0
2019-03-27,37.85,38.1,37.31,37.49,4763600,0.0,0.0
2019-03-28,37.64,37.95,37.41,37.92,4708800,0.0,0.0
2019-03-29,38.15,38.65,37.99,38.38,7767900,0.0,0.0
2019-04-01,38.82,39.0,38.5,38.66,11464900,0.0,0.0
2019-04-02,38.7,38.7,38.34,38.52,5725200,0.0,0.0
2019-04-03,38.7,38.74,38.15,38.33,6895800,0.0,0.0
2019-04-04,38.45,38.45,37.8,38.16,4049900,0.0,0.0
2019-04-05,38.23,38.31,37.93,38.16,4630100,0.0,0.0
2019-04-08,38.1,38.21,37.7,38.15,4870800,0.0,0.0
2019-04-09,38.06,38.35,37.94,38.21,4627500,0.0,0.0
2019-04-10,38.24,38.58,38.19,38.36,5896200,0.0,0.0
2019-04-11,38.5,38.51,37.87,37.92,4887600,0.0,0.0
2019-04-12,37.95,38.05,37.57,37.73,4800100,0.0,0.0
2019-04-15,37.81,37.91,37.49,37.81,5124100,0.0,0.0
2019-04-16,38.1,38.25,35.6,36.17,32945500,0.0,0.0
2019-04-17,35.8,36.33,34.85,34.91,16029700,0.0,0.0
2019-04-18,35.08,35.52,34.35,35.11,10281000,0.0,0.0
2019-04-22,34.9,35.42,34.63,34.93,7824200,0.0,0.0
2019-04-23,35.11,35.9,34.96,35.89,13874000,0.0,0.0
2019-04-24,35.0,36.14,34.78,35.44,19865500,0.0,0.0
2019-04-25,35.47,37.15,35.43,36.93,13209900,0.0,0.0
2019-04-26,37.17,37.49,36.8,37.38,9621600,0.0,0.0
2019-04-29,37.27,37.56,36.65,36.73,6018000,0.0,0.0
2019-04-30,36.78,37.19,36.59,37.12,7938900,0.0,0.0
2019-05-01,37.11,37.14,36.34,36.38,6081000,0.0,0.0
2019-05-02,36.25,36.89,36.11,36.89,10698600,0.0,0.0
2019-05-03,37.05,37.3,36.84,37.2,7869300,0.0,0.0
2019-05-06,36.57,37.47,36.51,37.37,7742300,0.0,0.0
2019-05-07,37.08,37.25,36.47,36.77,6403000,0.0,0.0
2019-05-08,36.75,37.21,36.37,36.7,7128900,0.0,0.0
2019-05-09,36.34,37.11,36.07,37.07,8510500,0.0,0.0
2019-05-10,36.82,36.9,35.88,36.58,7458700,0.0,0.0
2019-05-13,36.3,36.37,35.88,35.97,5476000,0.0,0.0
2019-05-14,36.2,37.12,36.1,36.76,6567200,0.0,0.0
2019-05-15,36.64,37.38,36.6,37.07,8536900,0.0,0.0
2019-05-16,37.21,38.31,37.21,37.62,7498800,0.0,0.0
2019-05-17,37.08,37.88,37.07,37.32,5482100,0.0,0.0
2019-05-20,37.15,37.39,36.81,37.29,5053300,0.0,0.0
2019-05-21,37.63,37.88,37.41,37.7,7933000,0.0,0.0
2019-05-22,37.65,37.89,37.45,37.73,3714200,0.0,0.0
2019-05-23,37.68,37.81,37.29,37.79,6282500,0.0,0.0
2019-05-24,37.7,38.65,37.67,38.47,8232400,0.0,0.0
2019-05-28,38.54,39.16,38.34,38.45,14470400,0.0,0.0
2019-05-29,38.4,38.5,37.7,38.07,6052500,0.0,0.0
2019-05-30,38.21,38.68,38.02,38.44,6964500,0.0,0.0
2019-05-31,38.16,38.59,37.62,38.41,6825900,0.0,0.0
2019-06-03,38.48,38.67,38.08,38.29,5730800,0.0,0.0
2019-06-04,38.76,39.14,38.21,39.05,6981900,0.0,0.0
2019-06-05,39.19,40.16,39.18,40.01,11081400,0.0,0.0
2019-06-06,40.12,40.94,39.63,40.54,12114700,0.0,0.0
2019-06-07,40.83,41.64,40.75,41.28,17415500,0.0,0.0
2019-06-10,41.18,41.79,41.18,41.45,8012400,0.0,0.0
2019-06-11,41.68,42.0,40.82,41.17,8341700,0.0,0.0
2019-06-12,41.14,41.48,40.45,40.8,7019100,0.0,0.0
2019-06-13,40.81,40.96,40.38,40.66,7260900,0.0,0.0
2019-06-14,40.76,40.95,40.33,40.42,5410000,0.0,0.0
2019-06-17,40.46,40.74,40.32,40.68,3746000,0.0,0.0
2019-06-18,41.04,41.69,40.88,40.94,5983000,0.0,0.0
2019-06-19,40.8,41.77,40.58,41.66,6328700,0.0,0.0
2019-06-20,41.99,42.4,41.49,41.86,6131600,0.0,0.0
2019-06-21,41.8,41.86,41.32,41.69,8605800,0.0,0.0
2019-06-24,41.57,42.03,41.52,42.01,5407000,0.0,0.0
2019-06-25,42.06,42.32,41.7,41.72,5624400,0.0,0.0
2019-06-26,41.69,41.71,40.67,41.39,6176900,0.0,0.0
2019-06-27,41.77,42.27,41.52,41.93,8356900,0.0,0.0
2019-06-28,41.95,43.02,41.87,42.98,12753800,0.0,0.0
2019-07-01,43.41,43.66,42.63,42.9,7508200,0.0,0.0
2019-07-02,43.05,43.27,42.36,42.69,7757300,0.0,0.0
2019-07-03,42.73,42.82,42.37,42.63,3683600,0.0,0.0
2019-07-05,42.42,42.7,42.3,42.62,4121700,0.0,0.0
2019-07-08,42.34,42.72,42.22,42.61,6206500,0.0,0.0
2019-07-09,42.45,43.1,42.43,43.06,5833900,0.0,0.0
2019-07-10,43.07,43.27,42.62,42.89,6689500,0.0,0.0
2019-07-11,43.16,43.21,42.64,43.2,4745300,0.0,0.0
2019-07-12,43.14,43.21,42.09,42.25,8970600,0.0,0.0
2019-07-15,42.27,42.67,42.1,42.45,4466100,0.0,0.0
2019-07-16,42.57,42.68,41.83,41.86,4966300,0.0,0.0
2019-07-17,42.12,42.45,42.03,42.24,6087700,0.0,0.0
2019-07-18,42.13,42.94,42.04,42.64,6095900,0.0,0.0
2019-07-19,42.85,42.95,42.18,42.25,6840100,0.0,0.0
2019-07-22,42.47,42.75,42.31,42.5,5291000,0.0,0.0
2019-07-23,42.7,42.88,42.34,42.88,6836400,0.0,0.0
2019-07-24,42.06,42.92,41.53,42.87,8422000,0.0,0.0
2019-07-25,42.88,43.0,41.97,42.01,6209400,0.0,0.0
2019-07-26,42.39,42.56,41.87,42.08,4943200,0.0,0.0
2019-07-29,42.0,42.4,41.88,42.29,3951600,0.0,0.0
2019-07-30,42.11,42.87,41.87,42.86,4635200,0.0,0.0
2019-07-31,42.84,43.17,42.06,42.46,6861500,0.0,0.0
2019-08-01,42.48,43.53,41.91,42.61,7800400,0.0,0.0
2019-08-02,42.66,42.83,42.16,42.75,5341300,0.0,0.0
2019-08-05,42.19,42.32,40.91,41.36,7200100,0.0,0.0
2019-08-06,41.63,42.33,41.4,42.33,4301500,0.0,0.0
2019-08-07,42.0,42.41,41.1,42.18,5671900,0.0,0.0
2019-08-08,42.25,42.86,42.24,42.76,5057700,0.0,0.0
2019-08-09,42.71,43.46,42.65,43.2,4827200,0.0,0.0
2019-08-12,43.1,43.15,42.26,42.33,3874200,0.0,0.0
2019-08-13,42.28,43.11,42.17,42.86,3449000,0.0,0.0
2019-08-14,42.43,42.52,41.41,41.43,5677000,0.0,0.0
2019-08-15,41.48,42.09,41.35,41.87,4467300,0.0,0.0
2019-08-16,42.18,42.42,41.87,42.15,3274900,0.0,0.0
2019-08-19,43.07,43.07,42.45,42.74,2755400,0.0,0.0
2019-08-20,42.74,43.2,42.47,42.5,4168900,0.0,0.0
2019-08-21,42.78,42.86,42.32,42.55,3742700,0.0,0.0
2019-08-22,42.69,42.94,42.32,42.69,3333700,0.0,0.0
2019-08-23,42.69,42.72,41.0,41.17,5308100,0.0,0.0
2019-08-26,41.53,41.87,41.28,41.85,3434800,0.0,0.0
2019-08-27,42.03,42.34,41.94,42.22,5996700,0.0,0.0
2019-08-28,42.0,42.72,41.96,42.49,4208100,0.0,0.0
2019-08-29,42.83,43.41,42.49,42.84,5804900,0.0,0.0
2019-08-30,43.03,43.23,42.5,42.73,3234400,0.0,0.0
2019-09-03,42.5,42.65,41.31,41.67,4695500,0.0,0.0
2019-09-04,42.04,42.09,41.37,42.05,3490900,0.0,0.0
2019-09-05,42.54,42.68,42.14,42.61,4867000,0.0,0.0
2019-09-06,42.95,43.84,42.63,43.45,6349400,0.0,0.0
2019-09-09,43.49,43.55,41.63,41.74,6171300,0.0,0.0
2019-09-10,41.28,41.36,39.83,41.3,10912200,0.0,0.0
2019-09-11,41.56,42.38,41.23,42.3,6370400,0.0,0.0
2019-09-12,42.67,43.05,42.2,42.24,5676800,0.0,0.0
2019-09-13,42.11,42.45,41.56,41.81,4535400,0.0,0.0
2019-09-16,41.73,42.02,41.45,41.94,3097000,0.0,0.0
2019-09-17,42.03,42.64,41.96,42.32,3935900,0.0,0.0
2019-09-18,42.42,42.94,42.28,42.9,3971300,0.0,0.0
2019-09-19,42.97,43.15,42.79,43.06,6465900,0.0,0.0
2019-09-20,43.29,43.4,42.85,43.29,7963700,0.0,0.0
2019-09-23,43.1,43.38,42.89,43.15,4025100,0.0,0.0
2019-09-24,43.45,43.65,42.05,42.33,6496200,0.0,0.0
2019-09-25,42.34,42.55,41.94,42.2,4364300,0.0,0.0
2019-09-26,42.44,42.76,42.02,42.35,5157500,0.0,0.0
2019-09-27,42.45,42.46,39.75,40.31,10846000,0.0,0.0
2019-09-30,40.41,41.06,40.22,40.69,8016300,0.0,0.0
2019-10-01,40.93,41.38,40.1,40.24,6121400,0.0,0.0
2019-10-02,39.77,39.91,38.9,39.15,8009800,0.0,0.0
2019-10-03,39.09,39.83,38.9,39.75,5459000,0.0,0.0
2019-10-04,40.04,40.72,39.89,40.53,6229600,0.0,0.0
2019-10-07,40.35,40.51,40.1,40.35,3601500,0.0,0.0
2019-10-08,40.05,40.23,37.78,37.87,19410700,0.0,0.0
2019-10-09,38.3,38.88,38.23,38.61,8593300,0.0,0.0
2019-10-10,38.29,38.57,37.65,37.98,17235800,0.0,0.0
2019-10-11,38.32,38.95,38.11,38.23,16058100,0.0,0.0
2019-10-14,38.28,38.52,37.95,37.97,5479900,0.0,0.0
2019-10-15,38.38,38.66,37.76,38.46,10241400,0.0,0.0
2019-10-16,38.22,38.4,37.87,38.18,14814100,0.0,0.0
2019-10-17,38.43,38.56,38.13,38.17,6319400,0.0,0.0
2019-10-18,38.25,38.66,38.01,38.47,10584800,0.0,0.0
2019-10-21,38.67,38.95,38.5,38.65,8590100,0.0,0.0
2019-10-22,38.9,38.94,38.09,38.18,9707000,0.0,0.0
2019-10-23,40.75,41.24,39.77,40.09,21256800,0.0,0.0
2019-10-24,40.22,40.72,39.89,40.54,10727900,0.0,0.0
2019-10-25,40.48,41.24,40.26,40.85,6549000,0.0,0.0
2019-10-28,40.85,41.68,40.81,41.57,6527800,0.0,0.0
2019-10-29,41.36,42.11,41.25,41.75,4831300,0.0,0.0
2019-10-30,41.86,42.04,41.37,42.01,4275000,0.0,0.0
2019-10-31,41.92,42.07,41.61,41.7,5321700,0.0,0.0
2019-11-01,42.05,42.42,41.41,41.51,7382400,0.0,0.0
2019-11-04,41.71,41.71,40.82,40.98,6187200,0.0,0.0
2019-11-05,40.9,40.96,40.16,40.59,5801200,0.0,0.0
2019-11-06,40.75,40.97,40.19,40.72,4296000,0.0,0.0
2019-11-07,40.76,41.03,40.33,40.72,4586100,0.0,0.0
2019-11-08,40.61,40.86,40.41,40.51,3235600,0.0,0.0
2019-11-11,40.32,40.79,40.04,40.17,5199700,0.0,0.0
2019-11-12,40.22,41.29,40.17,41.22,7076700,0.0,0.0
2019-11-13,41.28,41.55,41.01,41.42,5097400,0.0,0.0
2019-11-14,41.45,41.66,41.26,41.57,4674500,0.0,0.0
2019-11-15,41.89,42.32,41.56,42.31,7513700,0.0,0.0
2019-11-18,42.36,43.49,42.17,42.29,11969800,0.0,0.0
2019-11-19,42.36,42.73,42.07,42.63,5389200,0.0,0.0
2019-11-20,42.59,42.84,42.31,42.61,5274400,0.0,0.0
2019-11-21,42.49,42.56,41.87,42.36,3935700,0.0,0.0
2019-11-22,42.48,42.55,41.65,41.85,5655500,0.0,0.0
2019-11-25,42.1,42.89,41.99,42.85,5029900,0.0,0.0
2019-11-26,42.86,42.88,42.6,42.83,5847900,0.0,0.0
2019-11-27,43.0,43.33,42.87,43.21,4736000,0.0,0.0
2019-11-29,43.15,43.35,42.87,43.25,2375500,0.0,0.0
2019-12-02,43.33,43.4,42.35,42.72,4920700,0.0,0.0
2019-12-03,42.31,42.79,42.22,42.61,3176200,0.0,0.0
2019-12-04,42.82,43.12,42.71,43.01,3657700,0.0,0.0
2019-12-05,43.06,43.41,42.57,43.26,5409200,0.0,0.0
