Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,78.165,81.325,77.99,80.604,6384800,0.0,0.0
2019-01-03,80.874,81.041,78.696,79.06,6496200,0.0,0.0
2019-01-04,80.306,80.823,79.716,80.699,7952500,0.0,0.0
2019-01-07,80.874,82.235,80.044,81.748,5712700,0.0,0.0
2019-01-08,82.578,82.862,81.318,81.391,5674900,0.0,0.0
2019-01-09,82.061,83.015,81.886,82.483,7097000,0.0,0.0
2019-01-10,81.93,82.745,81.347,82.614,6078300,0.0,0.0
2019-01-11,82.286,82.323,81.318,81.951,4491700,0.0,0.0
2019-01-14,81.078,81.806,80.888,81.354,6121700,0.0,0.0
2019-01-15,81.544,82.337,81.201,81.646,4226100,0.0,0.0
2019-01-16,81.143,81.791,80.99,81.121,5624100,0.0,0.0
2019-01-17,80.648,81.769,80.226,81.529,4442700,0.0,0.0
2019-01-18,83.007,83.488,82.33,83.284,9382000,0.0,0.0
2019-01-22,82.374,82.614,81.522,81.806,7242000,0.0,0.0
2019-01-23,81.835,82.046,80.408,81.114,6082300,0.0,0.0
2019-01-24,80.852,82.883,80.764,82.658,8470700,0.0,0.0
2019-01-25,83.058,83.583,82.279,82.447,6261800,0.0,0.0
2019-01-28,81.493,81.973,80.881,81.682,6886600,0.0,0.0
2019-01-29,82.308,82.541,81.391,81.434,5359900,0.0,0.0
2019-01-30,81.944,82.76,81.544,82.294,7941700,0.0,0.0
2019-01-31,82.869,84.041,82.563,83.488,11225600,0.0,0.0
2019-02-01,84.944,86.838,84.908,86.197,10934300,0.0,0.0
2019-02-04,85.563,87.202,84.697,87.194,7987900,0.0,0.0
2019-02-05,87.107,87.282,86.43,87.005,6887400,0.0,0.0
2019-02-06,86.656,87.085,86.43,86.568,4990400,0.0,0.0
2019-02-07,85.935,86.299,84.842,86.095,7281900,0.0,0.0
2019-02-08,85.738,85.847,84.413,85.622,5671000,0.0,0.0
2019-02-11,85.148,85.461,84.755,85.163,4859600,0.0,0.0
2019-02-12,86.168,86.561,85.643,86.452,5400700,0.0,0.0
2019-02-13,86.772,87.668,86.437,87.071,5935900,0.0,0.0
2019-02-14,87.063,87.916,86.541,86.909,5406500,1.19,0.0
2019-02-15,87.983,88.159,87.225,87.784,6209800,0.0,0.0
2019-02-19,87.453,88.159,87.129,87.755,4277800,0.0,0.0
2019-02-20,87.755,88.792,87.527,88.468,5940600,0.0,0.0
2019-02-21,88.314,88.498,87.078,87.63,5139400,0.0,0.0
2019-02-22,88.468,88.601,87.416,87.814,4517600,0.0,0.0
2019-02-25,87.828,88.571,87.799,87.983,5196600,0.0,0.0
2019-02-26,88.122,88.976,88.027,88.218,5445600,0.0,0.0
2019-02-27,88.475,89.211,88.181,88.321,5289800,0.0,0.0
2019-02-28,88.262,88.38,87.152,87.953,6406500,0.0,0.0
2019-03-01,88.549,89.763,88.387,89.755,7743600,0.0,0.0
2019-03-04,90.226,90.351,88.667,89.822,7499500,0.0,0.0
2019-03-05,89.638,90.726,89.432,90.682,7345200,0.0,0.0
2019-03-06,90.594,91.719,89.954,90.859,7599900,0.0,0.0
2019-03-07,90.778,90.837,89.513,89.689,7201100,0.0,0.0
2019-03-08,88.336,89.682,87.674,89.454,7014100,0.0,0.0
2019-03-11,90.373,91.351,90.285,90.925,6088600,0.0,0.0
2019-03-12,91.087,91.91,90.748,91.131,6184300,0.0,0.0
2019-03-13,91.646,91.888,91.131,91.697,4707000,0.0,0.0
2019-03-14,91.763,92.278,91.557,91.646,5146400,0.0,0.0
2019-03-15,91.638,92.249,91.462,92.168,10449700,0.0,0.0
2019-03-18,92.094,92.771,92.065,92.587,5586900,0.0,0.0
2019-03-19,93.087,93.352,91.749,92.146,5096800,0.0,0.0
2019-03-20,91.969,92.925,91.704,91.712,6708500,0.0,0.0
2019-03-21,91.844,92.646,91.579,92.572,5050400,0.0,0.0
2019-03-22,91.829,91.866,90.248,90.535,5786800,0.0,0.0
2019-03-25,90.417,90.726,89.961,90.388,3837500,0.0,0.0
2019-03-26,91.035,91.874,90.748,91.3,4079800,0.0,0.0
2019-03-27,91.19,91.557,89.748,90.314,3727800,0.0,0.0
2019-03-28,90.175,90.586,89.998,90.483,4057700,0.0,0.0
2019-03-29,91.41,91.55,90.094,90.601,5318600,0.0,0.0
2019-04-01,91.109,92.138,90.8,91.896,5506300,0.0,0.0
2019-04-02,92.087,92.263,91.285,91.888,4362700,0.0,0.0
2019-04-03,92.102,92.197,90.866,91.123,3595400,0.0,0.0
2019-04-04,91.212,91.815,90.873,91.793,3715400,0.0,0.0
2019-04-05,92.124,93.146,92.087,92.984,5551400,0.0,0.0
2019-04-08,93.242,93.661,92.844,93.175,5483100,0.0,0.0
2019-04-09,92.889,92.889,92.028,92.337,4143400,0.0,0.0
2019-04-10,92.778,93.095,92.035,92.3,3970000,0.0,0.0
2019-04-11,92.19,92.867,91.756,92.668,3248300,0.0,0.0
2019-04-12,89.424,89.733,87.527,88.086,42693700,0.0,0.0
2019-04-15,88.277,89.012,87.769,88.365,13369100,0.0,0.0
2019-04-16,88.578,89.233,88.306,89.123,11942900,0.0,0.0
2019-04-17,89.88,90.13,88.299,88.461,11898100,0.0,0.0
2019-04-18,88.645,88.865,87.6,88.159,9546500,0.0,0.0
2019-04-22,88.836,89.741,88.593,89.66,7946200,0.0,0.0
2019-04-23,89.535,89.939,89.255,89.748,9079200,0.0,0.0
2019-04-24,89.255,89.314,86.857,86.997,22115000,0.0,0.0
2019-04-25,86.828,87.306,86.35,86.718,10636400,0.0,0.0
2019-04-26,87.085,87.159,85.063,86.129,11626700,0.0,0.0
2019-04-29,86.063,86.872,85.835,86.585,9404000,0.0,0.0
2019-04-30,89.071,89.674,88.005,88.306,21431500,0.0,0.0
2019-05-01,88.115,88.365,86.615,86.651,10097000,0.0,0.0
