Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,59.62,62.0,59.62,61.18,725500,0.0,0.0
2019-01-03,57.95,58.45,54.735,55.64,2864300,0.0,0.0
2019-01-04,56.48,59.45,56.31,59.37,1976700,0.0,0.0
2019-01-07,59.38,60.87,58.84,59.78,1093600,0.0,0.0
2019-01-08,60.03,60.03,58.9,59.37,1505200,0.0,0.0
2019-01-09,59.87,61.74,59.49,60.45,1986300,0.0,0.0
2019-01-10,61.01,62.38,60.12,61.86,3203000,0.0,0.0
2019-01-11,61.7,64.52,61.48,63.69,1506400,0.0,0.0
2019-01-14,62.8,62.8,61.05,61.18,1259500,0.0,0.0
2019-01-15,61.38,62.26,61.16,61.56,641800,0.0,0.0
2019-01-16,61.61,62.47,61.36,61.41,735700,0.0,0.0
2019-01-17,60.89,62.58,60.0,62.25,998800,0.0,0.0
2019-01-18,62.55,63.57,62.16,63.28,888200,0.0,0.0
2019-01-22,62.49,62.72,61.27,61.94,737900,0.0,0.0
2019-01-23,62.1,62.33,60.93,61.91,796500,0.0,0.0
2019-01-24,62.27,64.15,62.27,63.38,955800,0.0,0.0
2019-01-25,64.34,66.3,63.38,65.76,1463900,0.0,0.0
2019-01-28,64.12,65.74,63.63,65.09,921700,0.0,0.0
2019-01-29,65.1,65.185,63.37,63.66,1217600,0.0,0.0
2019-01-30,64.56,65.84,64.08,65.53,636200,0.0,0.0
2019-01-31,65.47,65.77,64.58,65.36,992200,0.0,0.0
2019-02-01,65.47,66.38,65.355,65.92,589400,0.0,0.0
2019-02-04,65.78,66.42,65.29,65.96,891500,0.0,0.0
2019-02-05,66.02,66.36,65.51,66.04,840600,0.0,0.0
2019-02-06,67.75,70.685,67.73,68.63,2133600,0.0,0.0
2019-02-07,67.78,68.28,66.23,66.53,1868400,0.0,0.0
2019-02-08,60.81,65.085,59.56,64.51,3754400,0.0,0.0
2019-02-11,64.49,65.45,64.32,64.5,1174900,0.0,0.0
2019-02-12,65.17,65.735,64.81,65.18,1595400,0.0,0.0
2019-02-13,65.29,65.51,64.73,64.9,1429300,0.0,0.0
2019-02-14,64.69,65.37,64.34,64.67,1671200,0.0,0.0
2019-02-15,65.31,65.58,64.8,65.16,1532900,0.0,0.0
2019-02-19,65.0,65.53,64.8,64.87,1666200,0.0,0.0
2019-02-20,65.21,66.16,64.84,65.86,1730000,0.0,0.0
2019-02-21,66.0,66.79,65.24,66.06,1377400,0.0,0.0
2019-02-22,66.61,68.16,66.53,67.8,1470100,0.0,0.0
2019-02-25,68.85,69.91,68.58,68.7,1781500,0.0,0.0
2019-02-26,68.41,69.57,68.12,69.14,1282300,0.0,0.0
2019-02-27,69.62,69.62,68.03,69.35,1120100,0.0,0.0
2019-02-28,68.87,70.34,68.87,70.14,1199900,0.0,0.0
2019-03-01,70.6,71.23,69.55,70.5,1182400,0.0,0.0
2019-03-04,70.84,71.24,69.195,70.05,930300,0.0,0.0
2019-03-05,70.26,70.56,69.32,69.86,1010500,0.0,0.0
2019-03-06,69.85,70.0,69.02,69.07,1067200,0.0,0.0
2019-03-07,68.74,69.0,67.79,68.35,1107600,0.0,0.0
2019-03-08,67.36,68.83,66.94,68.58,1012000,0.0,0.0
2019-03-11,68.87,69.75,68.87,69.37,939400,0.0,0.0
2019-03-12,69.39,69.515,68.33,69.24,690500,0.0,0.0
2019-03-13,69.75,69.75,67.63,69.09,1141800,0.0,0.0
2019-03-14,69.22,69.472,68.6,68.65,861700,0.0,0.0
2019-03-15,69.06,70.29,68.62,69.66,1440300,0.0,0.0
2019-03-18,69.63,70.3,69.42,69.83,905300,0.0,0.0
2019-03-19,70.36,70.88,69.95,70.11,847100,0.0,0.0
2019-03-20,70.19,70.37,68.57,69.12,1001500,0.0,0.0
2019-03-21,70.96,74.62,70.75,73.89,2571400,0.0,0.0
2019-03-22,73.52,73.99,71.66,71.67,1050200,0.0,0.0
2019-03-25,71.47,71.877,70.18,70.87,699300,0.0,0.0
2019-03-26,71.43,71.86,70.79,71.15,796400,0.0,0.0
2019-03-27,71.35,71.65,69.64,70.57,823600,0.0,0.0
2019-03-28,70.58,70.99,69.51,70.23,454300,0.0,0.0
2019-03-29,71.13,71.825,70.925,71.73,940000,0.0,0.0
2019-04-01,72.62,73.69,72.62,73.21,928300,0.0,0.0
2019-04-02,75.08,75.51,73.72,74.07,1149100,0.0,0.0
2019-04-03,74.92,75.54,74.13,74.41,1177900,0.0,0.0
2019-04-04,74.35,74.41,73.575,74.04,1032600,0.0,0.0
2019-04-05,74.47,74.93,74.3,74.89,623700,0.0,0.0
2019-04-08,74.51,75.37,74.31,75.25,665500,0.0,0.0
2019-04-09,74.99,75.78,74.9,75.22,819400,0.0,0.0
2019-04-10,74.9,76.72,74.83,76.23,1309600,0.0,0.0
2019-04-11,76.42,77.03,75.9,76.05,1352000,0.0,0.0
2019-04-12,76.75,77.24,75.93,77.19,986900,0.0,0.0
2019-04-15,77.16,77.26,76.08,76.39,672700,0.0,0.0
2019-04-16,76.78,78.76,76.78,78.31,2131300,0.0,0.0
2019-04-17,78.81,78.98,76.455,76.56,1329000,0.0,0.0
2019-04-18,76.64,76.995,76.14,76.68,934500,0.0,0.0
2019-04-22,76.22,76.86,75.955,76.01,1185400,0.0,0.0
2019-04-23,76.15,76.91,75.962,76.6,1651000,0.0,0.0
2019-04-24,77.05,78.51,76.66,77.25,1316200,0.0,0.0
2019-04-25,77.21,77.813,76.125,77.3,1063200,0.0,0.0
2019-04-26,73.85,75.16,72.55,74.99,2006300,0.0,0.0
2019-04-29,75.33,75.6,74.72,75.45,1237000,0.0,0.0
2019-04-30,75.61,76.248,74.67,75.61,1424400,0.0,0.0
2019-05-01,76.81,77.67,75.45,75.58,1743400,0.0,0.0
2019-05-02,75.53,77.24,75.53,76.75,1198400,0.0,0.0
2019-05-03,76.71,76.75,75.01,75.18,1472700,0.0,0.0
2019-05-06,73.15,74.74,72.61,74.33,1128500,0.0,0.0
2019-05-07,73.61,74.46,72.7,73.68,2142800,0.0,0.0
2019-05-08,78.0,78.67,74.505,76.18,4752600,0.0,0.0
2019-05-09,75.38,75.38,72.76,75.15,2571300,0.0,0.0
2019-05-10,74.84,75.25,72.74,75.07,1897200,0.0,0.0
2019-05-13,72.5,73.01,70.48,71.05,1923400,0.0,0.0
2019-05-14,71.69,73.34,71.62,72.86,1037300,0.0,0.0
2019-05-15,72.0,73.97,71.63,73.35,989200,0.0,0.0
2019-05-16,69.65,70.0,68.05,68.11,3384200,0.0,0.0
2019-05-17,66.26,66.622,63.4,63.93,3317300,0.0,0.0
2019-05-20,61.55,62.88,60.7,61.27,3119300,0.0,0.0
2019-05-21,64.98,67.952,61.475,61.54,4127100,0.0,0.0
2019-05-22,60.87,61.18,59.47,60.2,2531700,0.0,0.0
2019-05-23,59.28,60.77,58.52,60.66,2774500,0.0,0.0
2019-05-24,61.25,62.31,61.183,62.3,3575700,0.0,0.0
2019-05-28,62.6,62.92,60.7,60.75,1842500,0.0,0.0
2019-05-29,60.17,62.58,60.15,62.08,1566000,0.0,0.0
2019-05-30,62.18,63.73,61.41,61.87,1261100,0.0,0.0
2019-05-31,61.0,62.201,60.95,61.18,1284500,0.0,0.0
2019-06-03,61.65,62.75,60.77,61.88,1619100,0.0,0.0
2019-06-04,62.88,64.3,62.78,64.18,1643400,0.0,0.0
2019-06-05,64.65,65.0,62.57,63.44,1207400,0.0,0.0
2019-06-06,62.22,63.84,62.06,63.45,1022100,0.0,0.0
2019-06-07,63.68,64.63,63.6,64.38,1053600,0.0,0.0
2019-06-10,65.03,65.76,64.95,65.5,1886400,0.0,0.0
2019-06-11,65.88,66.0,63.99,64.31,1891400,0.0,0.0
2019-06-12,63.8,64.23,62.65,62.78,1317700,0.0,0.0
2019-06-13,63.0,63.825,62.82,63.31,776800,0.0,0.0
