Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,69.003,69.003,66.164,66.646,489500,0.0,0.0
2019-01-03,66.575,67.959,66.362,67.137,534700,0.0,0.0
2019-01-04,67.738,68.354,67.042,67.168,459500,0.0,0.0
2019-01-07,67.358,68.125,66.844,67.342,292700,0.0,0.0
2019-01-08,67.714,69.114,67.429,68.987,528900,0.0,0.0
2019-01-09,69.272,69.335,68.275,69.129,387200,0.0,0.0
2019-01-10,68.758,70.142,68.758,69.976,319400,0.0,0.0
2019-01-11,69.936,70.355,69.461,70.213,363500,0.0,0.0
2019-01-14,70.181,70.458,69.746,70.031,334100,0.0,0.0
2019-01-15,70.576,71.486,70.157,71.146,561700,0.0,0.0
2019-01-16,71.106,72.411,70.679,72.253,358200,0.0,0.0
2019-01-17,71.842,72.814,71.842,72.569,362200,0.0,0.0
2019-01-18,72.704,72.854,72.111,72.696,415800,0.0,0.0
2019-01-22,72.696,72.901,71.842,72.561,320600,0.0,0.0
2019-01-23,72.901,73.249,72.569,73.194,431900,0.0,0.0
2019-01-24,72.996,73.313,72.514,73.004,501800,0.0,0.0
2019-01-25,73.233,73.961,73.233,73.953,522400,0.0,0.0
2019-01-28,73.692,75.06,73.684,74.926,629700,0.0,0.0
2019-01-29,75.036,76.009,75.036,75.922,858400,0.0,0.0
2019-01-30,75.756,76.61,75.756,76.365,427100,0.0,0.0
2019-01-31,76.27,76.768,75.305,76.665,836700,0.0,0.0
2019-02-01,77.385,78.231,75.195,76.46,891800,0.0,0.0
2019-02-04,76.729,76.871,75.811,76.824,453000,0.0,0.0
2019-02-05,76.839,77.543,76.397,77.488,469900,0.0,0.0
2019-02-06,77.409,77.812,77.061,77.622,333000,0.0,0.0
2019-02-07,77.29,78.476,77.085,78.405,413800,0.0,0.0
2019-02-08,78.247,78.951,77.939,78.223,519800,0.0,0.0
2019-02-11,78.516,79.046,78.294,78.484,470100,0.0,0.0
2019-02-12,78.508,78.611,77.029,77.448,613800,0.0,0.0
2019-02-13,77.251,78.128,77.013,78.105,398600,0.0,0.0
2019-02-14,78.136,78.5,77.725,77.978,504300,0.0,0.0
2019-02-15,78.223,78.555,77.852,78.049,522500,0.0,0.0
2019-02-19,78.018,78.334,77.488,78.128,653600,0.0,0.0
2019-02-20,76.911,77.124,76.104,76.31,2412500,0.0,0.0
2019-02-21,76.46,77.108,75.954,76.95,1519400,0.0,0.0
2019-02-22,77.195,77.496,76.879,77.195,1015200,0.0,0.0
2019-02-25,77.338,77.464,76.539,77.021,1087700,0.0,0.0
2019-02-26,77.195,77.298,76.831,77.069,582100,0.0,0.0
2019-02-27,76.839,77.243,76.436,77.195,651100,0.0,0.0
2019-02-28,77.258,78.587,76.974,77.567,919100,0.0,0.0
2019-03-01,77.591,77.678,76.46,77.227,573800,0.0,0.0
2019-03-04,77.48,78.302,76.681,78.105,580300,0.0,0.0
2019-03-05,78.033,78.721,77.701,78.373,438200,0.0,0.0
2019-03-06,78.476,78.627,77.939,77.946,485900,0.0,0.0
