Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,194.901,197.704,193.318,194.845,218600,0.0,0.0
2019-01-03,194.258,196.317,192.703,193.495,170600,0.0,0.0
2019-01-04,195.674,200.107,193.793,199.586,409000,0.0,0.0
2019-01-07,199.772,204.326,195.124,201.97,361100,0.0,0.0
2019-01-08,203.106,204.643,200.889,201.811,363500,0.0,0.0
2019-01-09,202.985,203.777,198.114,198.505,237100,0.0,0.0
2019-01-10,197.751,199.781,195.637,198.068,374400,0.0,0.0
2019-01-11,197.453,199.446,196.289,197.993,242300,0.0,0.0
2019-01-14,196.68,198.282,192.591,193.327,250800,0.0,0.0
2019-01-15,194.091,198.533,192.899,196.4,395200,0.0,0.0
2019-01-16,197.276,202.342,197.276,201.402,244500,0.0,0.0
2019-01-17,201.178,204.27,200.461,201.16,349000,0.0,0.0
2019-01-18,201.97,205.816,199.716,204.131,155600,0.0,0.0
2019-01-22,203.665,206.105,201.653,203.311,251000,0.0,0.0
2019-01-23,204.177,206.207,203.032,204.717,138000,0.0,0.0
2019-01-24,204.661,207.129,203.311,203.73,210900,0.0,0.0
2019-01-25,204.401,206.58,203.46,204.382,186200,0.0,0.0
2019-01-28,203.674,204.997,202.398,203.311,159300,0.0,0.0
2019-01-29,203.358,203.46,198.505,198.841,289900,0.0,0.0
2019-01-30,197.462,202.063,192.936,195.786,430800,0.0,0.0
2019-01-31,195.218,200.312,195.218,200.023,245100,0.0,0.0
2019-02-01,203.395,203.395,197.732,198.952,270500,0.0,0.0
2019-02-04,197.946,202.724,194.799,201.569,193000,0.0,0.0
2019-02-05,200.815,203.665,200.042,203.628,181300,0.0,0.0
2019-02-06,203.115,205.528,202.426,203.814,159200,0.0,0.0
2019-02-07,202.929,205.863,201.392,205.369,256800,0.0,0.0
2019-02-08,205.369,207.306,201.271,205.518,231700,0.0,0.0
2019-02-11,205.844,209.16,205.593,208.21,201000,0.0,0.0
2019-02-12,209.218,211.02,204.812,210.413,238400,0.51,0.0
2019-02-13,211.514,213.54,211.057,213.045,186000,0.0,0.0
2019-02-14,212.14,212.83,207.444,211.673,221600,0.0,0.0
2019-02-15,212.289,214.604,209.909,214.24,382900,0.0,0.0
2019-02-19,213.475,218.767,213.11,217.068,283900,0.0,0.0
2019-02-20,217.18,218.823,215.332,218.03,197200,0.0,0.0
2019-02-21,218.301,219.822,215.976,219.514,172900,0.0,0.0
2019-02-22,219.393,223.575,218.413,223.071,224600,0.0,0.0
2019-02-25,223.771,226.076,223.127,225.33,193400,0.0,0.0
2019-02-26,224.704,226.356,223.883,224.452,269400,0.0,0.0
2019-02-27,224.471,229.661,223.985,228.233,282500,0.0,0.0
2019-02-28,228.634,229.764,226.468,227.654,320000,0.0,0.0
2019-03-01,220.718,228.279,220.354,226.916,370500,0.0,0.0
2019-03-04,226.795,226.795,221.297,221.754,250500,0.0,0.0
2019-03-05,221.53,222.753,218.254,218.357,284900,0.0,0.0
2019-03-06,218.898,219.374,213.223,215.183,279500,0.0,0.0
2019-03-07,215.286,219.141,209.787,210.441,267800,0.0,0.0
2019-03-08,209.657,211.356,207.519,210.655,309500,0.0,0.0
2019-03-11,211.253,213.867,208.621,212.046,291100,0.0,0.0
2019-03-12,212.056,216.48,210.73,214.492,257900,0.0,0.0
2019-03-13,215.379,218.273,213.979,215.136,355800,0.0,0.0
2019-03-14,215.295,216.994,213.988,216.387,195000,0.0,0.0
2019-03-15,216.275,219.01,215.136,217.909,346200,0.0,0.0
2019-03-18,218.515,222.072,218.515,221.829,227100,0.0,0.0
2019-03-19,222.604,222.604,219.346,219.943,183900,0.0,0.0
2019-03-20,220.009,223.631,220.009,221.437,233600,0.0,0.0
2019-03-21,220.83,225.274,220.774,224.181,270300,0.0,0.0
2019-03-22,223.08,224.872,221.4,222.483,180100,0.0,0.0
2019-03-25,222.912,224.023,221.334,223.211,188700,0.0,0.0
2019-03-26,224.751,228.242,223.267,227.467,189000,0.0,0.0
2019-03-27,227.775,229.736,226.739,228.774,150000,0.0,0.0
2019-03-28,229.185,233.311,228.009,230.118,166900,0.0,0.0
2019-03-29,231.5,231.789,229.362,229.708,188500,0.0,0.0
2019-04-01,231.621,232.853,228.307,230.305,196300,0.0,0.0
2019-04-02,231.014,232.965,229.465,232.144,246700,0.0,0.0
2019-04-03,233.516,241.058,229.054,230.268,246000,0.0,0.0
2019-04-04,230.725,232.387,225.078,231.883,303200,0.0,0.0
2019-04-05,231.883,237.213,231.761,236.998,192300,0.0,0.0
2019-04-08,236.998,241.217,234.944,240.965,220600,0.0,0.0
2019-04-09,240.022,243.233,239.826,241.759,191500,0.0,0.0
2019-04-10,242.533,242.664,240.648,241.264,213400,0.0,0.0
2019-04-11,242.123,242.879,239.602,240.106,276800,0.0,0.0
2019-04-12,241.068,242.888,240.368,242.561,209400,0.0,0.0
2019-04-15,243.009,244.736,242.505,244.326,315900,0.0,0.0
2019-04-16,244.97,247.042,243.495,245.427,625900,0.0,0.0
2019-04-17,246.351,247.285,243.859,244.783,283700,0.0,0.0
2019-04-18,244.494,246.743,244.111,246.361,468100,0.0,0.0
2019-04-22,246.081,246.799,244.102,244.69,339400,0.0,0.0
2019-04-23,245.464,245.987,243.299,245.035,564900,0.0,0.0
2019-04-24,245.828,249.142,239.537,246.79,403000,0.0,0.0
2019-04-25,245.511,249.077,243.467,247.798,211400,0.0,0.0
2019-04-26,246.146,252.755,246.146,251.737,279400,0.0,0.0
2019-04-29,254.314,259.588,252.96,257.917,359100,0.0,0.0
2019-04-30,258.309,261.278,256.293,259.812,248500,0.0,0.0
2019-05-01,260.671,264.834,259.121,263.275,279900,0.0,0.0
2019-05-02,263.62,265.562,261.688,264.087,265000,0.0,0.0
2019-05-03,264.937,269.268,264.349,267.018,250000,0.0,0.0
2019-05-06,264.097,274.355,264.097,271.116,403600,0.0,0.0
2019-05-07,269.882,272.874,261.615,261.709,375600,0.51,0.0
2019-05-08,261.802,264.365,260.727,262.597,253200,0.0,0.0
2019-05-09,260.559,262.167,257.267,259.96,283200,0.0,0.0
2019-05-10,259.1,263.551,257.875,262.719,275200,0.0,0.0
2019-05-13,259.203,263.682,258.015,263.373,271500,0.0,0.0
2019-05-14,263.878,270.742,263.878,268.741,437300,0.0,0.0
2019-05-15,267.535,271.92,266.871,268.376,309400,0.0,0.0
2019-05-16,269.77,271.855,269.255,270.649,267700,0.0,0.0
2019-05-17,269.227,274.062,268.666,273.211,470200,0.0,0.0
2019-05-20,271.715,275.427,271.715,274.539,242900,0.0,0.0
2019-05-21,274.819,279.598,271.434,273.089,341500,0.0,0.0
2019-05-22,273.632,275.754,271.677,273.51,295300,0.0,0.0
2019-05-23,271.658,275.146,269.779,272.696,319400,0.0,0.0
2019-05-24,273.323,275.792,269.124,269.611,376000,0.0,0.0
2019-05-28,269.611,272.322,262.186,262.831,2146300,0.0,0.0
2019-05-29,261.83,263.963,260.905,263.065,355300,0.0,0.0
2019-05-30,263.86,270.125,262.7,265.533,213100,0.0,0.0
2019-05-31,264.608,279.111,264.608,278.494,530700,0.0,0.0
2019-06-03,278.326,279.214,272.603,275.128,425100,0.0,0.0
2019-06-04,277.643,280.028,269.068,279.71,345000,0.0,0.0
2019-06-05,281.019,296.392,276.923,296.242,480600,0.0,0.0
2019-06-06,296.242,306.155,294.372,305.65,447800,0.0,0.0
2019-06-07,305.921,319.424,305.921,312.897,631500,0.0,0.0
2019-06-10,311.588,319.218,311.588,317.844,420200,0.0,0.0
2019-06-11,319.069,320.724,309.437,312.317,371800,0.0,0.0
2019-06-12,306.042,310.456,301.227,304.172,641800,0.0,0.0
2019-06-13,305.444,305.444,294.232,297.056,523600,0.0,0.0
2019-06-14,297.168,301.937,296.13,299.282,313700,0.0,0.0
2019-06-17,299.599,302.096,297.458,297.832,200100,0.0,0.0
2019-06-18,299.469,301.545,297.299,297.879,329600,0.0,0.0
2019-06-19,298.571,310.194,297.636,309.886,433300,0.0,0.0
2019-06-20,311.606,315.113,306.875,309.858,388800,0.0,0.0
2019-06-21,308.726,315.506,308.053,311.466,319600,0.0,0.0
2019-06-24,310.868,313.785,309.97,311.41,240700,0.0,0.0
2019-06-25,304.313,307.651,296.813,298.337,702100,0.0,0.0
2019-06-26,299.628,301.217,292.24,292.381,537300,0.0,0.0
2019-06-27,292.409,299.946,291.221,295.812,492100,0.0,0.0
2019-06-28,297.617,303.284,294.971,300.563,7603200,0.0,0.0
2019-07-01,301.451,303.779,297.393,301.647,490100,0.0,0.0
2019-07-02,302.517,310.484,299.628,309.418,355000,0.0,0.0
2019-07-03,311.279,317.797,309.689,316.534,271500,0.0,0.0
2019-07-05,317.254,321.911,313.28,319.714,222600,0.0,0.0
2019-07-08,319.779,322.248,316.394,319.34,330200,0.0,0.0
2019-07-09,318.788,321.883,314.748,320.649,323700,0.0,0.0
2019-07-10,321.631,329.224,321.631,326.727,364000,0.0,0.0
2019-07-11,326.652,333.161,326.138,331.524,295500,0.0,0.0
2019-07-12,332.946,336.003,331.103,335.031,249500,0.0,0.0
2019-07-15,336.583,338.304,333.731,337.378,276000,0.0,0.0
2019-07-16,338.126,340.679,337.247,339.547,308000,0.0,0.0
2019-07-17,340.426,345.008,338.771,344.148,254300,0.0,0.0
2019-07-18,344.419,349.151,342.661,348.609,255700,0.0,0.0
2019-07-19,349.712,349.712,342.577,343.213,248600,0.0,0.0
2019-07-22,344.84,348.263,342.717,346.439,259000,0.0,0.0
2019-07-23,348.749,348.749,341.754,343.942,301600,0.0,0.0
2019-07-24,331.786,333.722,309.521,312.56,1103300,0.0,0.0
2019-07-25,312.682,322.762,311.438,321.677,575700,0.0,0.0
2019-07-26,323.482,326.035,321.696,325.362,483800,0.0,0.0
2019-07-29,324.221,324.221,314.786,315.038,453500,0.0,0.0
2019-07-30,314.15,318.61,312.682,314.243,260400,0.0,0.0
2019-07-31,314.197,321.229,314.197,315.169,210300,0.0,0.0
2019-08-01,317.282,320.415,314.15,318.218,318800,0.0,0.0
2019-08-02,318.872,320.892,316.497,318.526,436700,0.0,0.0
2019-08-05,315.917,325.418,312.205,319.312,387600,0.0,0.0
2019-08-06,321.69,324.753,320.108,322.945,307700,0.51,0.0
2019-08-07,319.771,329.576,316.821,326.766,233300,0.0,0.0
2019-08-08,327.338,330.138,322.486,329.988,340800,0.0,0.0
2019-08-09,330.447,340.327,330.166,339.156,142600,0.0,0.0
2019-08-12,337.311,344.859,335.026,340.196,257400,0.0,0.0
2019-08-13,340.224,344.485,337.583,343.717,264400,0.0,0.0
2019-08-14,340.692,345.225,333.64,334.015,276500,0.0,0.0
2019-08-15,335.204,343.23,335.045,341.938,174100,0.0,0.0
2019-08-16,344.616,345.468,338.622,342.958,239000,0.0,0.0
2019-08-19,344.897,346.555,339.016,345.487,170100,0.0,0.0
2019-08-20,345.112,352.633,341.938,351.499,239600,0.0,0.0
2019-08-21,352.904,364.779,350.975,364.517,349400,0.0,0.0
2019-08-22,363.552,369.846,361.848,367.682,246600,0.0,0.0
2019-08-23,367.635,372.262,361.904,363.946,301700,0.0,0.0
2019-08-26,364.329,371.878,364.301,370.023,225900,0.0,0.0
2019-08-27,372.365,380.644,372.271,379.922,352100,0.0,0.0
2019-08-28,380.391,382.442,375.539,378.78,285300,0.0,0.0
2019-08-29,382.254,382.254,360.171,367.345,494900,0.0,0.0
2019-08-30,370.67,373.816,367.242,372.374,269900,0.0,0.0
2019-09-03,373.563,382.029,372.927,376.579,284200,0.0,0.0
2019-09-04,378.789,383.013,375.68,382.666,214700,0.0,0.0
2019-09-05,385.345,388.651,382.095,385.804,256100,0.0,0.0
2019-09-06,387.546,394.691,383.921,392.771,278900,0.0,0.0
2019-09-09,392.668,393.043,345.084,346.217,784000,0.0,0.0
2019-09-10,344.541,344.541,316.165,320.342,1125400,0.0,0.0
2019-09-11,320.501,331.449,315.463,319.752,550100,0.0,0.0
2019-09-12,322.824,329.482,315.107,323.226,313700,0.0,0.0
2019-09-13,322.702,326.345,308.345,309.319,432000,0.0,0.0
2019-09-16,307.184,316.249,305.17,313.121,323200,0.0,0.0
2019-09-17,315.135,326.045,315.135,320.735,469500,0.0,0.0
2019-09-18,321.99,326.195,317.926,322.159,457000,0.0,0.0
2019-09-19,322.159,325.502,319.227,320.988,437200,0.0,0.0
2019-09-20,321.718,325.614,314.723,316.708,1133900,0.0,0.0
2019-09-23,318.937,319.564,312.522,314.245,695300,0.0,0.0
2019-09-24,315.547,317.86,311.539,314.76,698700,0.0,0.0
2019-09-25,314.844,316.699,306.725,312.335,320300,0.0,0.0
2019-09-26,312.691,315.425,309.357,310.921,267800,0.0,0.0
2019-09-27,313.028,315.612,300.965,304.093,302900,0.0,0.0
2019-09-30,305.695,308.729,303.307,306.706,440300,0.0,0.0
2019-10-01,304.899,306.959,298.961,304.374,447900,0.0,0.0
2019-10-02,299.43,305.17,297.753,298.493,282200,0.0,0.0
2019-10-03,300.881,316.315,299.458,315.472,436600,0.0,0.0
2019-10-04,314.76,325.792,314.76,324.921,304800,0.0,0.0
2019-10-07,324.828,327.459,319.93,325.708,233100,0.0,0.0
2019-10-08,324.481,326.897,319.087,324.659,199000,0.0,0.0
2019-10-09,325.305,333.453,325.305,332.713,235700,0.0,0.0
2019-10-10,331.58,337.545,330.625,336.29,264400,0.0,0.0
2019-10-11,338.463,340.299,325.849,326.083,386300,0.0,0.0
2019-10-14,327.609,330.503,325.82,327.244,215700,0.0,0.0
2019-10-15,330.1,331.73,324.032,327.141,289600,0.0,0.0
2019-10-16,322.795,324.734,315.968,318.806,442800,0.0,0.0
2019-10-17,322.234,328.19,319.593,327.497,440600,0.0,0.0
2019-10-18,328.499,332.985,327.029,330.475,366700,0.0,0.0
2019-10-21,330.437,331.477,323.788,330.962,199900,0.0,0.0
2019-10-22,331.87,341.385,318.497,319.021,274600,0.0,0.0
2019-10-23,322.215,333.575,316.09,320.454,311700,0.0,0.0
2019-10-24,320.801,328.658,318.609,327.272,245300,0.0,0.0
2019-10-25,328.602,329.126,318.488,322.224,216500,0.0,0.0
2019-10-28,324.528,327.122,319.799,326.719,175600,0.0,0.0
2019-10-29,327.197,333.106,327.197,329.173,168300,0.0,0.0
2019-10-30,330.063,337.133,327.834,336.347,205700,0.0,0.0
2019-10-31,336.422,345.534,335.317,345.187,332400,0.0,0.0
2019-11-01,348.315,349.214,339.522,342.893,255300,0.0,0.0
2019-11-04,345.131,345.178,334.811,335.644,220200,0.0,0.0
2019-11-05,334.96,335.438,316.719,322.365,268300,0.51,0.0
2019-11-06,322.168,327.71,322.168,326.191,175200,0.0,0.0
2019-11-07,327.757,328.442,318.932,327.87,252400,0.0,0.0
2019-11-08,326.707,328.479,324.09,325.572,230700,0.0,0.0
2019-11-11,325.122,341.168,325.094,337.379,178600,0.0,0.0
2019-11-12,337.445,345.06,336.104,343.185,228800,0.0,0.0
2019-11-13,342.772,352.647,342.753,351.091,170000,0.0,0.0
2019-11-14,350.753,356.905,349.28,355.648,185200,0.0,0.0
2019-11-15,356.53,357.384,353.201,357.374,203900,0.0,0.0
2019-11-18,353.782,365.749,353.782,365.308,171700,0.0,0.0
2019-11-19,364.952,376.506,363.217,375.296,371000,0.0,0.0
2019-11-20,377.35,386.269,376.994,379.348,432400,0.0,0.0
2019-11-21,380.801,380.923,369.304,369.407,250300,0.0,0.0
2019-11-22,372.82,373.158,364.811,367.944,213000,0.0,0.0
2019-11-25,368.666,374.687,368.572,372.492,221000,0.0,0.0
2019-11-26,374.584,381.336,374.227,376.919,264600,0.0,0.0
2019-11-27,378.25,381.805,373.552,381.167,179400,0.0,0.0
2019-11-29,378.016,381.983,377.444,378.719,85000,0.0,0.0
2019-12-02,377.528,381.092,372.37,374.171,313900,0.0,0.0
2019-12-03,372.539,376.075,369.932,372.952,292900,0.0,0.0
2019-12-04,372.042,374.133,368.028,369.5,300900,0.0,0.0
2019-12-05,370.269,370.269,356.952,357.487,365700,0.0,0.0
2019-12-06,357.327,359.128,350.19,352.535,303700,0.0,0.0
2019-12-09,353.557,358.94,343.307,344.207,329200,0.0,0.0
2019-12-10,345.238,347.939,343.86,347.002,247300,0.0,0.0
2019-12-11,349.102,353.435,345.323,353.388,239800,0.0,0.0
2019-12-12,351.081,354.711,342.959,346.495,296200,0.0,0.0
2019-12-13,344.901,351.71,343.372,350.65,229600,0.0,0.0
2019-12-16,351.353,357.59,349.055,351.4,586600,0.0,0.0
2019-12-17,351.691,351.775,348.024,350.322,463900,0.0,0.0
2019-12-18,349.449,351.597,346.636,346.908,377200,0.0,0.0
2019-12-19,349.487,356.042,349.346,354.101,484300,0.0,0.0
2019-12-20,354.973,355.845,352.047,352.929,659500,0.0,0.0
2019-12-23,352.929,354.87,348.043,348.277,171000,0.0,0.0
2019-12-24,348.812,352.16,344.376,350.828,68700,0.0,0.0
2019-12-26,350.584,354.064,350.575,352.722,119500,0.0,0.0
2019-12-27,355.011,355.536,351.034,351.691,336800,0.0,0.0
2019-12-30,351.794,352.854,348.699,351.222,148900,0.0,0.0
2019-12-31,351.203,356.324,348.849,355.545,179100,0.0,0.0
2020-01-02,356.624,357.355,353.529,356.614,226200,0.0,0.0
2020-01-03,354.448,357.562,353.998,356.427,192900,0.0,0.0
2020-01-06,356.099,356.099,344.057,350.828,329000,0.0,0.0
2020-01-07,349.384,355.273,347.461,351.925,178600,0.0,0.0
2020-01-08,351.747,352.985,341.074,341.656,383100,0.0,0.0
2020-01-09,343.653,353.792,343.653,348.596,414100,0.0,0.0
2020-01-10,348.596,349.271,339.921,340.502,238500,0.0,0.0
2020-01-13,339.302,347.517,338.964,345.689,256400,0.0,0.0
2020-01-14,346.711,347.611,341.947,343.822,203500,0.0,0.0
2020-01-15,343.016,348.39,341.159,345.22,208200,0.0,0.0
2020-01-16,345.979,351.363,345.342,347.011,259100,0.0,0.0
2020-01-17,347.424,353.36,345.36,346.12,270000,0.0,0.0
2020-01-21,345.388,350.387,345.388,347.649,278500,0.0,0.0
2020-01-22,349.862,351.494,346.542,347.396,173800,0.0,0.0
2020-01-23,346.598,347.405,342.2,344.451,274500,0.0,0.0
2020-01-24,344.038,346.476,334.96,336.939,245800,0.0,0.0
2020-01-27,333.009,340.521,328.854,335.616,212700,0.0,0.0
2020-01-28,337.848,340.146,334.2,337.501,284800,0.0,0.0
2020-01-29,339.658,341.393,325.065,330.158,516900,0.0,0.0
2020-01-30,328.273,338.12,328.245,335.898,245900,0.0,0.0
2020-01-31,334.275,337.464,331.274,332.165,257000,0.0,0.0
2020-02-03,337.482,337.482,330.993,333.403,212700,0.0,0.0
2020-02-04,335.71,343.344,332.259,332.934,323800,0.0,0.0
2020-02-05,333.778,339.499,315.031,320.601,415300,0.0,0.0
2020-02-06,321.408,324.371,318.519,324.184,271600,0.0,0.0
2020-02-07,323.874,327.391,321.445,322.89,210900,0.0,0.0
2020-02-10,320.751,321.211,313.783,320.039,270000,0.0,0.0
2020-02-11,320.151,325.319,319.428,321.57,170100,0.6,0.0
2020-02-12,321.833,323.402,312.974,315.2,277900,0.0,0.0
2020-02-13,312.494,320.076,312.344,317.69,264000,0.0,0.0
2020-02-14,318.488,325.309,318.244,324.774,288600,0.0,0.0
2020-02-18,325.131,329.678,322.425,326.173,289500,0.0,0.0
2020-02-19,327.094,327.959,320.771,321.006,265700,0.0,0.0
2020-02-20,320.79,326.822,315.773,323.75,336500,0.0,0.0
2020-02-21,322.087,325.525,316.985,319.513,342300,0.0,0.0
2020-02-24,313.255,325.084,312.119,321.222,286100,0.0,0.0
2020-02-25,322.002,324.933,308.746,311.16,283700,0.0,0.0
2020-02-26,311.978,321.42,310.653,317.812,307900,0.0,0.0
2020-02-27,312.532,320.856,312.091,313.171,408400,0.0,0.0
2020-02-28,309.723,316.3,295.011,304.706,532900,0.0,0.0
2020-03-02,305.26,328.757,301.859,327.526,386200,0.0,0.0
2020-03-03,325.91,343.686,317.521,330.307,478800,0.0,0.0
2020-03-04,334.619,352.714,329.913,350.957,430900,0.0,0.0
2020-03-05,345.17,365.21,344.437,354.687,489100,0.0,0.0
2020-03-06,346.589,350.328,327.432,340.435,401800,0.0,0.0
2020-03-09,322.106,343.996,322.106,330.993,407600,0.0,0.0
2020-03-10,334.751,345.076,324.774,335.55,399900,0.0,0.0
2020-03-11,334.62,336.217,309.413,313.462,333500,0.0,0.0
