Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,36.133,37.345,35.994,36.911,3311900,0.0,0.0
2019-01-03,36.501,36.772,35.887,36.166,4258800,0.0,0.0
2019-01-04,36.542,36.911,36.207,36.788,3077200,0.0,0.0
2019-01-07,36.788,37.984,36.583,37.509,2670600,0.0,0.0
2019-01-08,37.705,38.385,37.656,38.082,3064700,0.0,0.0
2019-01-09,38.328,38.631,37.984,38.148,3580900,0.0,0.0
2019-01-10,38.385,39.343,38.287,38.975,2760700,0.0,0.0
2019-01-11,38.778,38.991,38.467,38.975,1703500,0.0,0.0
2019-01-14,38.655,38.967,38.639,38.721,2557800,0.0,0.0
2019-01-15,38.835,39.04,38.532,39.007,2632800,0.0,0.0
2019-01-16,39.098,39.925,39.032,39.654,3136600,0.0,0.0
2019-01-17,39.466,39.917,39.057,39.45,2532800,0.0,0.0
2019-01-18,39.818,40.269,39.81,40.17,2720300,0.0,0.0
2019-01-22,39.933,40.048,39.564,39.843,2234300,0.0,0.0
2019-01-23,39.9,40.203,39.442,40.023,1539200,0.0,0.0
2019-01-24,39.966,40.236,39.523,39.736,1976100,0.0,0.0
2019-01-25,40.048,40.621,40.048,40.416,4750900,0.0,0.0
2019-01-28,40.26,40.482,39.704,40.244,1956300,0.0,0.0
2019-01-29,40.375,40.539,40.097,40.408,2568600,0.0,0.0
2019-01-30,40.449,40.506,39.564,39.933,5037000,0.0,0.0
2019-01-31,39.859,41.464,39.81,40.924,5287800,0.0,0.0
2019-02-01,40.269,40.744,39.564,40.408,3090700,0.0,0.0
2019-02-04,40.441,40.891,40.154,40.875,3855800,0.0,0.0
2019-02-05,40.94,41.522,40.776,41.112,2450100,0.0,0.0
2019-02-06,40.948,41.825,40.948,41.595,3308300,0.0,0.0
2019-02-07,43.815,44.798,43.201,44.429,8144800,0.0,0.0
2019-02-08,44.609,44.65,42.635,43.135,4727200,0.0,0.0
2019-02-11,43.274,43.594,42.685,43.561,2661100,0.0,0.0
2019-02-12,43.905,44.765,43.717,44.658,3662900,0.0,0.0
2019-02-13,44.757,45.199,44.282,45.084,2724700,0.0,0.0
2019-02-14,44.97,45.576,44.601,45.453,3608600,0.0,0.0
2019-02-15,45.78,45.846,45.338,45.436,3650600,0.0,0.0
2019-02-19,45.297,46.583,45.15,46.509,2795700,0.0,0.0
2019-02-20,46.042,46.264,45.485,45.789,2715900,0.0,0.0
2019-02-21,45.698,45.78,44.527,44.839,2590400,0.0,0.0
2019-02-22,44.798,45.051,44.437,44.961,2317200,0.0,0.0
2019-02-25,45.404,45.404,44.658,44.699,2278700,0.0,0.0
2019-02-26,44.65,44.789,43.864,43.897,2166600,0.0,0.0
2019-02-27,43.643,44.134,43.373,43.921,2818000,0.0,0.0
2019-02-28,43.938,44.519,43.717,44.503,4113000,0.0,0.0
2019-03-01,44.765,45.019,43.356,43.446,3598700,0.0,0.0
2019-03-04,43.414,43.414,41.473,41.685,4399500,0.0,0.0
2019-03-05,41.604,41.767,40.793,40.834,2962500,0.0,0.0
2019-03-06,40.826,40.875,39.474,39.499,2663300,0.0,0.0
2019-03-07,39.368,39.564,38.868,38.901,3240500,0.0,0.0
2019-03-08,38.672,39.384,38.524,39.065,3175400,0.0,0.0
2019-03-11,39.253,40.023,38.868,40.007,2864700,0.0,0.0
2019-03-12,40.105,40.776,40.064,40.4,2809800,0.0,0.0
2019-03-13,40.719,41.825,40.498,41.481,4979000,0.0,0.0
2019-03-14,41.571,41.661,41.096,41.604,4233800,0.0,0.0
2019-03-15,41.612,41.784,41.03,41.17,5657500,0.0,0.0
2019-03-18,41.235,41.513,40.514,40.924,4008400,0.0,0.0
2019-03-19,40.981,41.669,40.981,41.399,4430700,0.0,0.0
2019-03-20,41.284,41.292,40.105,40.424,2633600,0.0,0.0
2019-03-21,40.31,41.161,40.236,41.079,2285400,0.0,0.0
2019-03-22,40.948,41.178,39.818,39.835,2414000,0.0,0.0
2019-03-25,39.843,39.851,38.614,38.95,3459600,0.0,0.0
2019-03-26,39.147,39.745,38.926,39.139,2797300,0.0,0.0
2019-03-27,39.122,39.622,38.885,39.36,3600500,0.0,0.0
2019-03-28,39.392,39.753,39.032,39.245,3042400,0.0,0.0
2019-03-29,39.614,39.854,39.333,39.829,3029500,0.476,0.0
2019-04-01,40.259,40.689,40.061,40.631,2249300,0.0,0.0
2019-04-02,39.779,40.118,38.969,39.01,3544000,0.0,0.0
2019-04-03,39.308,39.895,38.53,38.944,3481200,0.0,0.0
2019-04-04,38.911,39.027,38.348,38.77,2218500,0.0,0.0
2019-04-05,38.936,39.738,38.894,39.283,2827000,0.0,0.0
2019-04-08,39.225,39.515,38.812,39.333,2005300,0.0,0.0
2019-04-09,39.159,39.374,38.869,39.159,1799700,0.0,0.0
2019-04-10,39.233,39.233,38.125,38.828,3097500,0.0,0.0
2019-04-11,38.985,39.051,38.216,38.365,2208900,0.0,0.0
2019-04-12,38.63,39.126,38.464,38.704,2524300,0.0,0.0
