Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,30.049,30.927,29.647,30.772,7662300,0.0,0.0
2019-01-03,30.497,30.808,29.455,29.5,11618300,0.0,0.0
2019-01-04,30.003,30.708,29.665,30.488,10784000,0.0,0.0
2019-01-07,30.836,31.988,30.625,31.43,10722300,0.0,0.0
2019-01-08,32.016,32.638,31.549,31.842,10532900,0.0,0.0
2019-01-09,31.979,32.555,31.75,32.18,9917600,0.0,0.0
2019-01-10,32.016,32.062,31.257,31.769,9143700,0.0,0.0
2019-01-11,33.479,34.733,33.159,34.01,32257100,0.0,0.0
2019-01-14,34.074,34.76,33.864,34.449,14361100,0.0,0.0
2019-01-15,34.614,34.614,33.662,34.348,11999100,0.0,0.0
2019-01-16,34.284,34.742,34.092,34.458,17427400,0.0,0.0
2019-01-17,34.303,35.034,34.211,34.998,13060500,0.0,0.0
2019-01-18,35.172,35.464,34.614,35.318,10494100,0.0,0.0
2019-01-22,35.016,35.473,34.659,34.897,12134400,0.0,0.0
2019-01-23,34.943,35.089,34.284,34.458,7752800,0.0,0.0
2019-01-24,34.54,35.025,34.449,34.906,7809100,0.0,0.0
2019-01-25,35.355,35.519,35.089,35.345,8842600,0.0,0.0
2019-01-28,34.97,35.309,34.815,35.181,11384400,0.0,0.0
2019-01-29,35.044,35.254,34.842,35.19,5745200,0.0,0.0
2019-01-30,35.217,35.803,34.87,35.757,11033000,0.0,0.0
2019-01-31,35.501,35.72,35.208,35.693,11219300,0.0,0.0
2019-02-01,35.592,35.812,35.236,35.473,8040300,0.0,0.0
2019-02-04,35.355,35.62,35.08,35.611,9960000,0.0,0.0
2019-02-05,35.748,36.004,35.428,35.949,12158000,0.0,0.0
2019-02-06,36.745,37.266,36.16,36.507,16883000,0.0,0.0
2019-02-07,35.885,36.05,35.071,35.355,15800700,0.0,0.0
2019-02-08,35.217,35.409,34.769,35.4,8111500,0.0,0.0
2019-02-11,35.044,35.391,34.961,35.336,9364900,0.0,0.0
2019-02-12,35.492,35.967,35.492,35.702,9725800,0.0,0.0
2019-02-13,35.931,36.031,35.51,35.675,6735900,0.0,0.0
2019-02-14,35.501,35.757,35.409,35.574,7050500,0.0,0.0
2019-02-15,35.73,35.849,35.437,35.757,8582300,0.0,0.0
2019-02-19,35.656,36.297,35.592,36.16,9122200,0.0,0.0
2019-02-20,36.26,36.681,36.15,36.544,9794800,0.0,0.0
2019-02-21,36.589,36.772,36.169,36.242,7436000,0.0,0.0
2019-02-22,36.443,36.599,36.077,36.58,6742300,0.0,0.0
2019-02-25,36.818,37.01,36.672,36.718,9252300,0.0,0.0
2019-02-26,36.507,36.919,36.434,36.69,7611600,0.0,0.0
2019-02-27,36.672,36.736,36.388,36.589,8671900,0.0,0.0
2019-02-28,36.425,36.507,35.858,36.114,9053400,0.0,0.0
2019-03-01,36.452,36.562,35.72,36.16,7706200,0.0,0.0
2019-03-04,36.315,37.962,35.702,35.903,7524500,0.0,0.0
2019-03-05,35.931,36.059,35.693,35.931,4866200,0.0,0.0
2019-03-06,35.894,35.94,35.208,35.373,9413300,0.0,0.0
2019-03-07,35.197,35.419,34.772,35.142,8999800,0.38,0.0
2019-03-08,34.763,35.142,34.643,35.096,6911000,0.0,0.0
2019-03-11,35.179,35.835,35.105,35.678,12218800,0.0,0.0
2019-03-12,35.752,36.056,35.567,35.678,6633600,0.0,0.0
2019-03-13,35.789,36.056,35.659,35.844,7334100,0.0,0.0
2019-03-14,35.807,35.862,35.05,35.133,8692900,0.0,0.0
2019-03-15,35.142,35.373,34.994,35.17,16854700,0.0,0.0
2019-03-18,35.271,35.327,34.754,35.086,7583800,0.0,0.0
2019-03-19,35.391,35.798,35.142,35.354,9003300,0.0,0.0
2019-03-20,34.865,35.05,33.978,34.181,11680000,0.0,0.0
2019-03-21,34.181,34.532,33.978,34.504,8168100,0.0,0.0
2019-03-22,34.264,34.458,33.516,33.664,10049500,0.0,0.0
2019-03-25,33.701,34.209,33.498,33.95,6922200,0.0,0.0
2019-03-26,34.116,34.163,33.775,34.061,6867200,0.0,0.0
2019-03-27,34.107,34.403,33.692,33.821,7006500,0.0,0.0
2019-03-28,33.904,34.394,33.867,34.237,5591300,0.0,0.0
2019-03-29,34.468,34.551,34.107,34.274,9432600,0.0,0.0
2019-04-01,34.551,34.939,34.486,34.883,7145600,0.0,0.0
2019-04-02,34.948,35.114,34.745,34.929,5667100,0.0,0.0
2019-04-03,35.336,35.696,35.317,35.465,8815300,0.0,0.0
2019-04-04,35.474,35.973,35.465,35.835,7116100,0.0,0.0
2019-04-05,35.89,36.038,35.641,35.973,4497800,0.0,0.0
2019-04-08,35.816,36.112,35.807,36.084,5992400,0.0,0.0
2019-04-09,35.89,36.103,35.752,35.899,6528900,0.0,0.0
2019-04-10,35.927,36.417,35.826,36.26,5471100,0.0,0.0
2019-04-11,36.38,36.574,36.149,36.334,4581500,0.0,0.0
2019-04-12,36.583,36.999,36.518,36.685,4949700,0.0,0.0
2019-04-15,36.86,36.962,36.352,36.555,5179400,0.0,0.0
2019-04-16,36.546,36.869,36.454,36.638,5985300,0.0,0.0
2019-04-17,37.045,37.193,36.842,36.943,8643500,0.0,0.0
2019-04-22,36.953,37.045,36.481,36.491,7203800,0.0,0.0
2019-04-23,36.398,36.805,36.195,36.796,9507500,0.0,0.0
