Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,68.095,68.991,68.013,68.863,2274300,0.0,0.0
2019-01-03,68.644,69.082,67.492,67.629,3066300,0.0,0.0
2019-01-04,68.415,69.366,67.656,69.174,3760600,0.0,0.0
2019-01-07,67.025,68.342,66.742,67.08,4822800,0.0,0.0
2019-01-08,67.437,67.757,65.087,65.956,4845700,0.0,0.0
2019-01-09,65.983,66.751,65.755,66.221,3301900,0.0,0.0
2019-01-10,66.093,66.715,65.892,66.532,2758600,0.0,0.0
2019-01-11,66.212,66.898,65.974,66.824,1647700,0.0,0.0
2019-01-14,66.139,66.706,65.91,66.459,3197400,0.0,0.0
2019-01-15,66.349,67.245,66.175,67.199,1604100,0.0,0.0
2019-01-16,68.031,68.607,67.684,68.113,2888900,0.0,0.0
2019-01-17,67.857,68.589,67.693,68.424,2545900,0.0,0.0
2019-01-18,68.735,69.32,68.314,69.137,3166000,0.0,0.0
2019-01-22,69.018,69.759,68.854,69.357,2757800,0.0,0.0
2019-01-23,69.603,69.859,68.89,69.53,1743800,0.0,0.0
2019-01-24,69.448,69.631,68.671,68.753,2277100,0.0,0.0
2019-01-25,69.375,69.777,68.753,69.256,2573000,0.0,0.0
2019-01-28,68.927,69.293,68.57,69.21,1412600,0.0,0.0
2019-01-29,69.101,69.357,68.479,68.881,2140600,0.0,0.0
2019-01-30,68.762,69.859,68.634,69.677,2617600,0.0,0.0
2019-01-31,69.302,70.289,69.219,70.17,2554500,0.0,0.0
2019-02-01,70.426,71.157,70.216,70.865,2589600,0.0,0.0
2019-02-04,70.902,71.057,69.768,70.481,3107700,0.0,0.0
2019-02-05,70.545,70.755,70.198,70.673,3217800,0.0,0.0
2019-02-06,70.408,73.223,70.088,70.746,3572500,0.0,0.0
2019-02-07,69.786,69.823,67.903,69.064,5770600,0.0,0.0
2019-02-08,68.68,69.677,68.223,69.622,3863500,0.0,0.0
2019-02-11,69.594,69.969,68.735,69.037,2915700,0.0,0.0
2019-02-12,69.439,70.088,69.174,69.594,2608800,0.0,0.0
2019-02-13,69.887,70.719,69.695,70.097,2701700,0.0,0.0
2019-02-14,69.978,70.097,69.192,69.43,3497500,0.0,0.0
2019-02-15,68.991,69.576,68.095,69.018,7395600,0.0,0.0
2019-02-19,68.826,69.201,67.656,68.433,2356100,0.0,0.0
2019-02-20,68.333,68.461,67.675,68.086,3735600,0.0,0.0
2019-02-21,68.324,68.726,68.141,68.442,2898800,0.0,0.0
2019-02-22,68.607,68.89,68.506,68.726,2580800,0.0,0.0
2019-02-25,69.183,69.731,68.781,68.872,2403900,0.0,0.0
2019-02-26,68.689,69.11,68.653,68.835,2426200,0.0,0.0
2019-02-27,68.68,69.878,68.58,69.667,2799100,0.0,0.0
2019-02-28,69.722,70.819,69.722,70.527,4001400,0.0,0.0
2019-03-01,70.865,71.45,70.463,70.563,3054600,0.0,0.0
2019-03-04,70.664,71.011,69.475,69.64,4659000,0.0,0.0
2019-03-05,69.695,69.859,68.771,68.909,2484400,0.0,0.0
2019-03-06,69.091,69.21,68.305,68.461,1656200,0.0,0.0
2019-03-07,68.26,68.378,67.245,67.327,2976100,0.0,0.0
2019-03-08,66.733,66.733,65.727,66.276,3328900,0.0,0.0
2019-03-11,66.614,66.888,66.047,66.322,2642300,0.0,0.0
2019-03-12,66.514,67.172,66.331,66.843,2645600,0.0,0.0
2019-03-13,66.897,67.903,66.815,67.693,3467300,0.0,0.0
2019-03-14,67.642,67.991,67.358,67.798,1961200,0.275,0.0
2019-03-15,67.67,68.496,67.624,68.477,3861900,0.0,0.0
2019-03-18,68.67,69.046,68.331,68.459,3606700,0.0,0.0
2019-03-19,68.835,68.936,67.927,68.129,2389700,0.0,0.0
2019-03-20,68.175,68.193,67.129,67.165,3225000,0.0,0.0
2019-03-21,66.881,67.752,66.853,67.34,2284500,0.0,0.0
2019-03-22,67.0,67.211,66.495,66.761,2886700,0.0,0.0
2019-03-25,66.844,67.899,66.734,67.697,2998500,0.0,0.0
2019-03-26,68.202,68.386,67.33,67.89,2566400,0.0,0.0
2019-03-27,67.808,68.147,67.532,67.771,2038500,0.0,0.0
2019-03-28,67.872,68.652,67.578,68.606,2063400,0.0,0.0
2019-03-29,69.055,69.918,68.973,69.863,4317200,0.0,0.0
2019-04-01,70.294,70.734,70.184,70.652,2972900,0.0,0.0
2019-04-02,70.79,71.294,70.615,70.991,2430700,0.0,0.0
2019-04-03,71.414,71.469,70.78,71.037,2295000,0.0,0.0
2019-04-04,71.01,71.175,70.615,70.891,2404700,0.0,0.0
2019-04-05,70.964,71.175,70.597,70.891,2370800,0.0,0.0
2019-04-08,70.615,70.771,70.257,70.652,2484900,0.0,0.0
2019-04-09,70.487,70.817,70.303,70.624,3121900,0.0,0.0
2019-04-10,70.624,70.725,70.395,70.514,1976500,0.0,0.0
2019-04-11,70.771,70.982,70.468,70.707,2193800,0.0,0.0
2019-04-12,71.358,71.689,70.652,70.909,5511000,0.0,0.0
2019-04-15,71.019,72.414,70.872,72.157,3970500,0.0,0.0
2019-04-16,72.276,73.285,72.102,72.891,2566200,0.0,0.0
2019-04-17,73.12,73.955,72.836,73.551,3266200,0.0,0.0
2019-04-18,73.487,73.863,73.23,73.276,2934900,0.0,0.0
2019-04-22,73.047,73.928,72.964,73.863,1474900,0.0,0.0
2019-04-23,74.01,74.166,73.395,73.891,2821300,0.0,0.0
2019-04-24,73.845,74.185,73.561,73.836,2603900,0.0,0.0
2019-04-25,73.662,74.331,73.414,74.157,1401200,0.0,0.0
2019-04-26,74.487,74.506,74.056,74.496,1585700,0.0,0.0
2019-04-29,74.487,75.185,74.405,74.955,1846200,0.0,0.0
2019-04-30,74.919,75.231,74.597,74.643,3095700,0.0,0.0
2019-05-01,74.542,74.873,74.019,74.019,3852500,0.0,0.0
2019-05-02,74.093,74.708,72.983,73.148,3360500,0.0,0.0
2019-05-03,73.313,73.827,72.946,73.12,2630200,0.0,0.0
2019-05-06,72.423,74.515,72.368,74.276,2850500,0.0,0.0
2019-05-07,73.772,74.111,72.992,73.423,2999700,0.0,0.0
2019-05-08,73.294,74.23,73.074,73.781,1941000,0.0,0.0
2019-05-09,73.139,74.396,72.983,74.139,1915200,0.0,0.0
2019-05-10,74.102,74.864,73.313,74.653,1628000,0.0,0.0
2019-05-13,73.561,74.084,73.212,73.882,1943900,0.0,0.0
2019-05-14,73.918,75.231,73.909,74.607,3179400,0.0,0.0
2019-05-15,74.065,74.662,73.946,73.964,1370400,0.0,0.0
2019-05-16,74.313,74.928,74.129,74.634,2443000,0.0,0.0
2019-05-17,74.065,74.854,74.065,74.524,1284400,0.0,0.0
2019-05-20,74.552,74.882,74.203,74.414,1788400,0.0,0.0
2019-05-21,74.781,75.304,74.625,75.065,2300900,0.0,0.0
2019-05-22,74.689,74.992,74.331,74.432,2333000,0.0,0.0
2019-05-23,74.102,74.744,73.836,74.552,3167200,0.0,0.0
2019-05-24,74.836,75.084,74.185,75.084,2693700,0.0,0.0
2019-05-28,75.056,75.965,74.955,75.304,4187800,0.0,0.0
2019-05-29,74.854,75.396,74.579,75.286,1800100,0.0,0.0
2019-05-30,75.414,75.9,75.249,75.799,1946300,0.0,0.0
2019-05-31,75.13,75.616,75.038,75.432,2540700,0.0,0.0
2019-06-03,75.515,75.845,75.185,75.717,3539000,0.0,0.0
2019-06-04,76.157,77.02,76.001,76.9,3872500,0.0,0.0
2019-06-05,77.231,78.002,77.075,77.947,2136300,0.0,0.0
2019-06-06,78.084,78.424,77.653,78.167,1815300,0.0,0.0
2019-06-07,78.258,78.772,78.249,78.341,1633200,0.0,0.0
2019-06-10,78.818,79.332,78.479,78.983,2669100,0.0,0.0
2019-06-11,79.387,79.626,77.699,77.937,1747900,0.0,0.0
2019-06-12,77.928,78.433,77.763,78.433,1431000,0.0,0.0
2019-06-13,78.668,78.668,77.554,77.848,1505400,0.275,0.0
2019-06-14,77.959,78.345,77.747,78.18,1248400,0.0,0.0
2019-06-17,78.391,78.594,77.278,77.36,1927100,0.0,0.0
2019-06-18,77.646,78.124,77.37,77.959,1682400,0.0,0.0
2019-06-19,78.189,78.787,78.032,78.686,1493100,0.0,0.0
2019-06-20,78.64,79.763,78.64,79.56,1721900,0.0,0.0
2019-06-21,79.781,80.324,79.496,79.873,4287900,0.0,0.0
2019-06-24,79.708,80.196,79.551,79.717,2043400,0.0,0.0
2019-06-25,79.671,79.781,79.073,79.653,1738800,0.0,0.0
2019-06-26,79.717,79.717,77.784,77.802,1987900,0.0,0.0
2019-06-27,78.327,79.183,78.18,78.714,1434600,0.0,0.0
2019-06-28,78.714,79.109,78.474,79.109,3252900,0.0,0.0
2019-07-01,79.8,79.846,78.898,79.312,1579300,0.0,0.0
2019-07-02,79.303,80.435,79.303,80.435,1779500,0.0,0.0
