Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,33.535,33.898,33.332,33.695,7300800,0.0,0.0
2019-01-03,33.56,33.932,33.442,33.569,7454600,0.0,0.0
2019-01-04,33.754,34.582,33.754,34.498,7770200,0.0,0.0
2019-01-07,34.346,35.013,34.278,34.734,6095300,0.0,0.0
2019-01-08,34.895,35.579,34.844,35.545,11029300,0.0,0.0
2019-01-09,35.638,35.74,35.207,35.419,8532700,0.0,0.0
2019-01-10,35.419,35.773,35.207,35.765,7680200,0.0,0.0
2019-01-11,35.731,35.832,35.503,35.672,4755400,0.0,0.0
2019-01-14,35.596,36.01,35.427,35.883,10366400,0.0,0.0
2019-01-15,36.061,36.39,35.9,36.272,7624500,0.0,0.0
2019-01-16,36.28,36.39,35.892,36.044,6464600,0.0,0.0
2019-01-17,36.035,36.441,35.985,36.356,5860400,0.0,0.0
2019-01-18,36.652,36.728,36.339,36.626,7616800,0.0,0.0
2019-01-22,36.458,36.61,36.018,36.432,10983700,0.0,0.0
2019-01-23,36.559,36.762,36.229,36.753,8414000,0.0,0.0
2019-01-24,36.348,36.643,36.213,36.348,9214700,0.0,0.0
2019-01-25,36.534,36.635,36.035,36.086,5888400,0.0,0.0
2019-01-28,35.976,36.474,35.925,36.424,6437700,0.0,0.0
2019-01-29,36.491,36.812,36.196,36.686,7462500,0.0,0.0
2019-01-30,36.711,37.15,36.677,37.007,7714100,0.0,0.0
2019-01-31,37.167,39.118,37.167,39.076,15658000,0.0,0.0
2019-02-01,38.738,39.009,38.341,38.493,13278200,0.0,0.0
2019-02-04,38.637,38.992,38.434,38.949,8774900,0.0,0.0
2019-02-05,38.857,38.992,38.747,38.84,5776800,0.0,0.0
2019-02-06,38.797,39.127,38.679,39.025,6653500,0.0,0.0
2019-02-07,38.679,39.279,38.645,39.279,9393900,0.0,0.0
2019-02-08,38.933,39.625,38.848,39.617,8905300,0.0,0.0
2019-02-11,39.575,40.132,39.422,40.081,10105900,0.0,0.0
2019-02-12,40.124,40.343,40.022,40.166,8742800,0.0,0.0
2019-02-13,40.124,40.369,39.938,40.217,6595200,0.0,0.0
2019-02-14,39.912,40.259,39.6,39.972,7871800,0.0,0.0
2019-02-15,40.149,40.723,40.124,40.681,10522200,0.0,0.0
2019-02-19,40.259,40.816,40.081,40.63,7861200,0.0,0.0
2019-02-20,40.453,40.715,40.242,40.537,10711200,0.0,0.0
2019-02-21,40.47,40.935,40.445,40.892,6209200,0.0,0.0
2019-02-22,40.073,40.478,39.972,40.309,12798800,0.0,0.0
2019-02-25,40.318,40.377,39.76,39.879,10070500,0.0,0.0
2019-02-26,39.929,40.191,39.862,40.064,7475300,0.0,0.0
2019-02-27,40.005,40.022,39.701,39.811,8153400,0.0,0.0
2019-02-28,39.777,40.005,39.667,39.836,8498500,0.0,0.0
2019-03-01,39.862,39.988,39.727,39.896,8114500,0.0,0.0
2019-03-04,39.997,40.09,39.304,39.693,9588000,0.0,0.0
2019-03-05,39.718,39.828,39.498,39.642,8406500,0.0,0.0
2019-03-06,39.583,39.811,39.558,39.676,5660900,0.0,0.0
2019-03-07,39.667,39.896,39.49,39.541,8070100,0.0,0.0
2019-03-08,39.27,39.617,39.169,39.346,6699800,0.0,0.0
2019-03-11,39.372,39.836,39.296,39.803,6326200,0.0,0.0
2019-03-12,39.819,40.064,39.515,39.659,5856600,0.0,0.0
2019-03-13,39.803,40.124,39.769,39.938,6289700,0.0,0.0
2019-03-14,39.988,40.081,39.803,39.997,5617300,0.0,0.0
2019-03-15,40.064,40.512,40.022,40.377,9676900,0.0,0.0
2019-03-18,40.394,40.622,40.352,40.58,5817900,0.0,0.0
2019-03-19,40.706,40.968,40.605,40.749,6252400,0.0,0.0
2019-03-20,40.732,41.011,40.47,40.698,6560100,0.0,0.0
2019-03-21,40.571,41.382,40.301,41.289,6773900,0.0,0.0
2019-03-22,41.213,41.669,41.213,41.5,6978800,0.0,0.0
2019-03-25,41.433,41.805,41.424,41.737,5390300,0.0,0.0
2019-03-26,41.864,42.278,41.754,42.058,7059300,0.0,0.0
