Date,Klose,Open,High,Low,Volume
2019-01-02,24.343,23.749,24.584,23.601,6894400
2019-01-03,24.065,24.185,24.566,23.786,5915200
2019-01-04,25.234,24.334,25.243,24.241,6277600
2019-01-07,26.17,25.772,26.532,25.53,9644500
2019-01-08,26.291,26.44,26.467,25.781,7284200
2019-01-09,26.857,26.421,27.08,25.985,9501800
2019-01-10,26.542,26.746,26.876,26.263,5577000
2019-01-11,26.514,26.041,26.829,26.004,4897600
2019-01-14,25.846,26.384,26.569,25.781,5493200
2019-01-15,26.041,25.827,26.3,25.697,3352500
2019-01-16,25.391,26.004,26.041,25.363,4964500
2019-01-17,24.909,24.779,25.373,24.668,6142100
2019-01-18,24.668,25.011,25.02,24.436,8546900
2019-01-22,24.426,24.612,24.779,24.241,5804300
2019-01-23,24.779,24.389,24.807,24.269,3796100
2019-01-24,24.77,24.807,25.141,24.649,7951400
2019-01-25,25.011,24.974,25.41,24.76,7315200
2019-01-28,25.076,24.807,25.438,24.733,5413200
2019-01-29,25.28,23.796,25.493,23.285,9250900
2019-01-30,25.271,25.252,25.373,24.297,8192300
2019-01-31,25.799,25.354,26.152,25.048,8829100
2019-02-01,25.373,25.827,26.226,25.354,5121700
2019-02-04,24.853,25.345,25.447,24.658,5082600
2019-02-05,25.373,24.844,25.391,24.807,4187800
2019-02-06,24.556,25.206,25.317,24.51,5393000
2019-02-07,24.946,24.389,25.002,24.38,3995200
2019-02-08,24.686,24.473,24.89,24.389,3460200
2019-02-11,24.584,24.77,24.862,24.51,3892700
2019-02-12,25.336,24.733,25.549,24.668,7973500
2019-02-13,25.224,25.336,25.428,24.788,4073900
2019-02-14,24.964,24.751,25.159,24.64,3433500
2019-02-15,25.159,25.057,25.363,24.918,3420100
2019-02-19,25.085,25.15,25.465,24.955,4173000
2019-02-20,25.178,25.076,25.289,24.927,5240100
2019-02-21,25.605,25.039,25.66,24.992,5940100
2019-02-22,25.957,25.753,26.161,25.503,4194900
2019-02-25,25.567,26.059,26.078,25.549,5309800
2019-02-26,25.456,25.419,25.697,25.104,4067400
2019-02-27,25.131,25.484,25.725,24.9,4652800
2019-02-28,25.048,24.862,25.308,24.649,5006800
2019-03-01,24.807,25.252,25.317,24.436,5746900
2019-03-04,25.679,24.909,25.79,24.909,5206700
2019-03-05,24.937,25.67,25.716,24.918,5773100
2019-03-06,24.835,24.992,25.373,24.825,4194200
2019-03-07,25.54,24.927,25.818,24.77,4974100
2019-03-08,25.586,25.521,25.855,25.419,3836300
2019-03-11,26.161,25.595,26.198,25.595,2594600
2019-03-12,25.985,26.226,26.291,25.679,2665300
2019-03-13,25.53,26.022,26.124,25.41,3404200
2019-03-14,25.232,25.512,25.549,25.083,3492400
2019-03-15,25.027,25.27,25.53,24.972,4400800
2019-03-18,24.841,25.027,25.176,24.767,4847200
2019-03-19,24.441,24.85,25.093,24.385,4670700
2019-03-20,24.031,24.31,24.58,23.509,6887900
2019-03-21,24.496,24.096,24.776,23.938,4956700
2019-03-22,24.757,24.459,25.111,24.357,4673500
2019-03-25,25.344,24.646,25.4,24.543,3451900
2019-03-26,25.502,25.381,25.549,25.158,2860000
2019-03-27,26.806,25.977,26.909,25.903,8355000
2019-03-28,26.359,26.862,26.918,26.359,6267100
2019-03-29,26.043,26.536,26.778,26.005,3314000
2019-04-01,25.977,26.126,26.126,25.484,3255500
2019-04-02,25.866,26.015,26.015,25.558,2555600
2019-04-03,25.866,25.987,26.21,25.661,3044700
2019-04-04,26.629,25.81,26.648,25.81,3486400
2019-04-05,26.955,26.629,27.039,26.555,2662900
2019-04-08,26.853,26.881,27.03,26.657,2771400
2019-04-09,26.611,26.816,27.039,26.527,2988200
2019-04-10,26.937,26.853,27.104,26.602,2169200
2019-04-11,27.393,27.011,27.477,26.983,3336400
2019-04-12,27.375,27.43,27.514,27.216,2499100
2019-04-15,27.477,27.44,27.552,27.188,2100800
2019-04-16,27.719,27.635,27.775,27.43,2830400
2019-04-17,27.98,27.822,28.101,27.756,2789400
2019-04-18,28.306,27.933,28.492,27.933,3316400
2019-04-22,28.148,28.278,28.585,28.082,4577800
2019-04-23,29.2,28.641,29.536,28.427,7087000
2019-04-24,29.675,29.573,29.759,29.023,3505400
2019-04-25,29.498,29.098,29.712,28.753,4365700
2019-04-26,29.303,29.629,29.657,29.275,3281100
2019-04-29,29.182,29.275,29.34,29.033,3484500
2019-04-30,29.303,29.144,29.377,29.033,2983500
2019-05-01,29.144,29.359,29.815,29.126,3340400
2019-05-02,29.526,29.359,29.824,29.079,2906900
2019-05-03,29.601,29.591,29.694,29.116,2803300
2019-05-06,29.563,29.303,29.629,29.163,3047100
2019-05-07,29.312,29.368,29.563,29.06,2697700
2019-05-08,28.949,29.228,29.433,28.939,2032200
2019-05-09,29.368,28.865,29.424,28.79,3083300
2019-05-10,29.377,29.284,29.47,28.958,2701900
2019-05-13,29.116,28.865,29.293,28.725,4108300
2019-05-14,29.871,29.135,30.029,29.107,4716000
2019-05-15,29.74,29.871,30.038,29.647,3075100
2019-05-16,30.113,29.834,30.383,29.834,3389000
2019-05-17,30.253,30.001,30.551,29.843,3858100
2019-05-20,29.675,30.15,30.299,29.582,2415200
2019-05-21,30.057,29.759,30.271,29.685,2619600
2019-05-22,29.917,29.414,30.066,29.377,3233400
2019-05-23,29.424,29.759,29.973,29.396,3236700
2019-05-24,29.917,29.517,29.927,29.517,1966700
2019-05-28,29.508,29.927,30.066,29.498,3160200
2019-05-29,29.116,29.536,29.536,28.921,3108700
2019-05-30,29.368,29.172,29.508,29.088,2404700
2019-05-31,28.874,29.06,29.2,28.576,2732100
2019-06-03,29.517,28.865,29.75,28.725,3672500
2019-06-04,29.75,29.796,29.806,29.237,4119600
2019-06-05,29.862,29.927,29.927,29.331,2954000
2019-06-06,29.629,29.927,30.178,29.545,3056800
2019-06-07,30.504,29.778,30.579,29.778,4199700
2019-06-10,30.486,30.486,30.821,30.253,2555100
2019-06-11,30.271,30.616,30.737,30.02,2039300
2019-06-12,29.955,30.299,30.663,29.862,4300300
2019-06-13,30.375,30.095,30.515,30.095,2303700
2019-06-14,30.702,30.31,30.796,30.235,3029200
2019-06-17,30.525,30.702,30.824,30.076,2379400
2019-06-18,30.749,30.609,30.983,30.375,4555600
2019-06-19,30.104,30.702,30.74,29.553,3944800
2019-06-20,30.59,30.357,30.628,30.123,3580300
2019-06-21,29.814,30.478,30.534,29.777,3739600
2019-06-24,30.048,29.88,30.366,29.693,2395500
2019-06-25,29.328,30.487,30.581,28.805,7000800
2019-06-26,29.123,29.431,29.628,28.824,4108600
2019-06-27,29.487,29.534,29.618,29.132,2729900
2019-06-28,29.553,29.403,29.88,29.403,4976100
2019-07-01,30.02,29.88,30.104,29.478,4119900
2019-07-02,30.338,30.048,30.357,29.945,3075000
2019-07-03,30.543,30.282,30.721,30.226,1653900
2019-07-05,29.852,30.319,30.431,29.646,3248500
2019-07-08,30.207,29.861,30.394,29.721,3472400
2019-07-09,29.899,30.151,30.272,29.833,5038000
2019-07-10,30.515,30.263,30.581,30.254,3112200
2019-07-11,30.553,30.581,30.6,30.02,2904900
2019-07-12,31.375,30.712,31.413,30.702,3516400
2019-07-15,30.973,31.403,31.544,30.843,4040100
2019-07-16,31.385,30.871,31.572,30.871,3093100
2019-07-17,31.291,31.431,31.581,31.235,2573600
2019-07-18,31.254,31.385,31.684,30.936,4913100
2019-07-19,31.058,31.385,31.515,31.02,2959000
2019-07-22,31.291,31.216,31.805,31.188,7357700
2019-07-23,28.684,30.001,30.973,28.571,11401100
2019-07-24,28.88,28.973,29.02,28.282,6912100
2019-07-25,29.777,28.964,29.833,28.964,5569800
2019-07-26,29.777,29.665,29.889,29.525,2634700
2019-07-29,29.413,29.73,29.861,29.244,4630800
2019-07-30,30.001,29.562,30.263,29.497,3336700
2019-07-31,29.45,30.114,30.207,29.02,4270600
2019-08-01,29.768,29.413,30.188,29.104,4082200
2019-08-02,29.291,29.702,29.833,29.254,3011800
2019-08-05,29.076,29.17,29.45,28.758,3327400
2019-08-06,28.908,28.973,29.347,28.749,3735600
2019-08-07,29.758,28.796,29.842,28.646,4376300
2019-08-08,30.385,29.861,30.45,29.842,3229400
2019-08-09,29.973,30.198,30.272,29.871,2177600
2019-08-12,29.422,29.768,29.871,29.3,1523100
2019-08-13,30.142,30.02,30.31,29.628,2023800
2019-08-14,29.59,29.814,30.011,29.282,2248400
2019-08-15,29.347,29.684,29.796,29.254,2024700
2019-08-16,29.973,29.487,30.123,29.375,2466600
2019-08-19,30.385,30.347,30.609,30.17,1925400
2019-08-20,30.515,30.441,30.684,30.207,2115600
2019-08-21,30.74,30.665,30.833,30.291,2532800
