Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019/01/02,75.898,79.715,75.607,78.6,726100,0.0,0.0
2019/01/03,78.04,79.227,76.925,78.338,694500,0.0,0.0
2019/01/04,79.722,82.766,79.722,82.169,792500,0.0,0.0
2019/01/07,82.766,85.964,81.55,84.565,757300,0.0,0.0
2019/01/08,85.417,86.772,84.835,86.466,742500,0.0,0.0
2019/01/09,86.634,89.219,86.328,88.484,791700,0.0,0.0
2019/01/10,88.039,89.525,87.428,89.227,719400,0.0,0.0
2019/01/11,88.491,90.071,88.105,89.649,536500,0.0,0.0
2019/01/14,89.256,90.953,88.739,90.261,886700,0.0,0.0
2019/01/15,90.093,90.996,89.03,90.203,606600,0.0,0.0
2019/01/16,90.392,90.785,89.365,89.715,466800,0.0,0.0
2019/01/17,88.921,91.972,88.695,91.419,451800,0.0,0.0
2019/01/18,92.198,93.211,91.339,92.54,779300,0.0,0.0
2019/01/22,92.664,92.664,90.967,91.929,933800,0.0,0.0
2019/01/23,91.426,92.14,86.444,87.275,1266100,0.0,0.0
2019/01/24,87.61,89.817,87.435,89.511,876100,0.0,0.0
2019/01/25,90.829,91.987,90.334,91.091,669600,0.0,0.0
2019/01/28,89.685,91.907,89.387,90.647,1265800,0.0,0.0
2019/01/29,85.898,100.006,85.046,99.409,7414900,0.0,0.0
2019/01/30,98.09,98.098,93.83,96.248,2201400,0.0,0.0
2019/01/31,96.24,98.25,95.629,96.874,1492500,0.0,0.0
2019/02/01,97.289,98.593,95.519,96.859,1027500,0.0,0.0
2019/02/04,96.918,98.833,96.714,98.687,763200,0.0,0.0
2019/02/05,98.527,100.195,97.894,98.666,822100,0.0,0.0
2019/02/06,98.258,99.052,97.755,97.821,607500,0.0,0.0
2019/02/07,97.835,98.607,96.685,97.661,544700,0.0,0.0
2019/02/08,97.529,97.85,95.76,97.078,541200,0.0,0.0
2019/02/11,97.275,97.471,95.898,96.801,705900,0.0,0.0
2019/02/12,97.449,100.261,97.1,99.372,819900,0.0,0.0
2019/02/13,99.576,100.851,99.212,100.472,694900,0.0,0.0
2019/02/14,100.006,101.346,99.343,100.195,759200,0.0,0.0
2019/02/15,100.916,102.657,100.188,101.499,897000,0.0,0.0
2019/02/19,100.851,103.575,100.494,103.094,658100,0.0,0.0
2019/02/20,103.108,105.199,102.555,103.931,752100,0.0,0.0
2019/02/21,103.298,105.075,102.846,104.004,601100,0.0,0.0
2019/02/22,104.667,106.116,104.157,106.029,650300,0.0,0.0
2019/02/25,106.444,106.917,105.25,105.366,789300,0.0,0.0
2019/02/26,104.878,105.971,103.975,104.354,632800,0.0,0.0
2019/02/27,104.529,105.41,102.781,104.106,640200,0.0,0.0
2019/02/28,103.886,104.29,102.19,103.901,929700,1.15,0.0
2019/03/01,104.378,104.789,103.196,103.754,517100,0.0,0.0
2019/03/04,104.018,104.995,103.695,104.958,662300,0.0,0.0
2019/03/05,104.995,105.567,104.099,104.194,575000,0.0,0.0
2019/03/06,103.849,104.378,101.837,101.992,594000,0.0,0.0
2019/03/07,101.874,102.432,100.53,100.927,590400,0.0,0.0
2019/03/08,100.655,101.316,99.642,100.993,420100,0.0,0.0
2019/03/11,100.839,102.256,99.995,100.296,541900,0.0,0.0
2019/03/12,100.942,103.702,100.626,103.533,985800,0.0,0.0
2019/03/13,103.908,105.854,103.299,103.6,1256200,0.0,0.0
2019/03/14,103.754,104.253,102.403,102.843,726000,0.0,0.0
2019/03/15,101.801,102.271,96.558,97.784,2006200,0.0,0.0
2019/03/18,97.718,99.877,97.652,97.88,957700,0.0,0.0
2019/03/19,98.614,99.789,96.779,97.072,869800,0.0,0.0
2019/03/20,96.896,97.748,95.376,95.817,893500,0.0,0.0
2019/03/21,95.986,98.71,95.986,98.394,1534700,0.0,0.0
2019/03/22,97.931,98.232,94.657,94.745,964000,0.0,0.0
2019/03/25,94.458,96.213,94.304,94.767,953600,0.0,0.0
2019/03/26,95.552,96.448,95.2,96.147,816100,0.0,0.0
2019/03/27,97.014,97.359,95.942,96.757,612000,0.0,0.0
2019/03/28,96.764,97.542,96.294,96.955,347700,0.0,0.0
2019/03/29,97.483,98.306,96.529,97.572,645200,0.0,0.0
2019/04/01,98.13,98.827,97.102,98.732,572200,0.0,0.0
2019/04/02,98.688,99.231,97.946,98.82,563700,0.0,0.0
2019/04/03,99.018,99.069,97.08,97.483,785400,0.0,0.0
2019/04/04,97.439,98.732,97.212,98.732,610100,0.0,0.0
2019/04/05,98.871,100.354,98.475,99.936,614700,0.0,0.0
2019/04/08,100.075,101.316,99.084,101.228,569000,0.0,0.0
2019/04/09,101.037,101.037,98.688,98.959,553200,0.0,0.0
2019/04/10,99.436,100.809,98.93,100.611,568200,0.0,0.0
2019/04/11,100.707,103.078,100.193,102.586,582100,0.0,0.0
2019/04/12,102.425,103.254,101.661,102.704,865300,0.0,0.0
2019/04/15,102.785,102.953,99.87,100.127,1141100,0.0,0.0
2019/04/16,99.341,101.015,99.297,100.846,749100,0.0,0.0
2019/04/17,100.876,102.109,99.774,100.501,562600,0.0,0.0
2019/04/18,100.296,102.66,100.259,102.102,675000,0.0,0.0
2019/04/22,102.337,103.71,101.992,102.322,1789500,0.0,0.0
2019/04/23,105.824,106.39,101.845,102.741,2971000,0.0,0.0
2019/04/24,103.247,103.247,99.488,102.212,1216300,0.0,0.0
2019/04/25,101.757,101.757,98.636,99.15,991600,0.0,0.0
