Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019/01/02,27.815,27.926,27.168,27.316,3990600,0.0,0.0
2019/01/03,27.331,27.584,27.145,27.309,3603000,0.0,0.0
2019/01/04,26.996,27.748,26.996,27.651,4453500,0.0,0.0
2019/01/07,27.614,28.03,27.532,28.001,5800400,0.0,0.0
2019/01/08,27.964,28.41,27.845,28.402,5718800,0.0,0.0
2019/01/09,28.291,28.432,28.06,28.231,6366300,0.0,0.0
2019/01/10,28.261,28.73,28.15,28.7,4081400,0.0,0.0
2019/01/11,28.693,28.693,28.335,28.544,3506900,0.0,0.0
2019/01/14,28.365,28.425,27.74,28.269,4998500,0.0,0.0
2019/01/15,28.231,28.618,28.135,28.358,5188600,0.0,0.0
2019/01/16,28.231,28.715,28.068,28.626,4644600,0.0,0.0
2019/01/17,28.566,28.931,28.514,28.797,4620600,0.0,0.0
2019/01/18,28.864,29.146,28.678,28.916,3806400,0.0,0.0
2019/01/22,29.005,29.065,28.603,28.826,2972200,0.0,0.0
2019/01/23,28.96,29.31,28.841,29.288,5007300,0.0,0.0
2019/01/24,29.288,29.332,29.02,29.221,3442800,0.0,0.0
2019/01/25,29.094,29.295,28.812,28.856,3054500,0.0,0.0
2019/01/28,28.76,28.953,28.395,28.707,5495000,0.0,0.0
2019/01/29,28.797,28.975,28.551,28.685,3336500,0.0,0.0
2019/01/30,28.596,28.908,28.574,28.826,3547100,0.0,0.0
2019/01/31,28.826,29.228,28.611,29.161,7394500,0.0,0.0
2019/02/01,29.117,29.25,28.685,28.849,7887300,0.0,0.0
2019/02/04,28.38,28.715,28.35,28.67,8885700,0.0,0.0
2019/02/05,28.67,28.826,28.521,28.782,10002500,0.0,0.0
2019/02/06,28.789,29.165,28.759,29.045,6429400,0.38,0.0
2019/02/07,29.052,29.571,28.887,29.533,6999900,0.0,0.0
2019/02/08,29.435,29.713,29.398,29.668,4231200,0.0,0.0
2019/02/11,29.616,29.743,29.443,29.563,3528100,0.0,0.0
2019/02/12,29.623,29.886,29.45,29.691,3809600,0.0,0.0
2019/02/13,29.683,29.781,29.578,29.683,5048700,0.0,0.0
2019/02/14,29.713,29.819,29.435,29.638,3397800,0.0,0.0
2019/02/15,29.811,29.894,29.503,29.743,6692600,0.0,0.0
2019/02/19,29.743,29.796,29.601,29.751,4519400,0.0,0.0
2019/02/20,29.323,29.789,29.03,29.743,6189200,0.0,0.0
2019/02/21,29.653,30.127,29.466,30.089,4820100,0.0,0.0
2019/02/22,30.089,30.6,30.082,30.592,3804300,0.0,0.0
2019/02/25,30.57,30.683,30.277,30.375,4906800,0.0,0.0
2019/02/26,30.45,30.773,30.239,30.638,6306900,0.0,0.0
2019/02/27,30.412,30.66,30.412,30.592,6164700,0.0,0.0
2019/02/28,30.622,30.728,30.367,30.615,6837600,0.0,0.0
2019/03/01,30.57,30.788,30.412,30.728,5018200,0.0,0.0
2019/03/04,30.803,30.87,30.397,30.607,6495200,0.0,0.0
2019/03/05,30.585,30.728,30.329,30.367,5065500,0.0,0.0
2019/03/06,30.45,30.713,30.299,30.592,3737800,0.0,0.0
2019/03/07,30.668,30.976,30.532,30.638,3492400,0.0,0.0
2019/03/08,30.675,30.758,30.412,30.72,3332800,0.0,0.0
2019/03/11,30.803,31.088,30.78,31.073,3555200,0.0,0.0
2019/03/12,31.126,31.344,31.073,31.239,3561800,0.0,0.0
2019/03/13,31.193,31.389,31.171,31.269,3791300,0.0,0.0
2019/03/14,31.329,31.366,30.946,30.961,4062400,0.0,0.0
2019/03/15,31.051,31.051,30.615,30.976,10690400,0.0,0.0
2019/03/18,30.976,31.028,30.81,30.983,3814800,0.0,0.0
2019/03/19,30.953,30.953,30.179,30.36,5154700,0.0,0.0
2019/03/20,30.45,30.773,30.254,30.495,6252600,0.0,0.0
2019/03/21,30.495,31.028,30.465,30.983,2980000,0.0,0.0
2019/03/22,31.013,31.554,30.915,31.381,3805200,0.0,0.0
2019/03/25,31.381,31.464,31.239,31.449,3407100,0.0,0.0
2019/03/26,31.501,31.652,31.374,31.554,3284300,0.0,0.0
2019/03/27,31.592,31.607,31.208,31.344,4854800,0.0,0.0
2019/03/28,31.389,31.517,30.923,31.103,4550700,0.0,0.0
2019/03/29,31.118,31.269,30.968,31.261,5481600,0.0,0.0
2019/04/01,31.201,31.261,30.87,31.141,3686100,0.0,0.0
2019/04/02,31.186,31.224,30.9,31.058,3406900,0.0,0.0
2019/04/03,30.983,31.103,30.758,30.87,4049200,0.0,0.0
2019/04/04,30.946,30.961,29.503,29.631,12163100,0.0,0.0
2019/04/05,30.352,30.84,30.052,30.78,13492200,0.0,0.0
2019/04/08,30.765,30.803,30.262,30.367,5707200,0.0,0.0
2019/04/09,30.292,30.705,30.164,30.69,3467300,0.0,0.0
2019/04/10,30.683,30.946,30.592,30.675,4799600,0.0,0.0
2019/04/11,30.645,30.968,30.592,30.961,4130000,0.0,0.0
2019/04/12,30.818,31.111,30.72,31.081,2557800,0.0,0.0
2019/04/15,31.066,31.216,30.938,31.013,2854400,0.0,0.0
2019/04/16,30.946,31.103,30.375,30.397,3910800,0.0,0.0
2019/04/17,30.435,30.435,30.112,30.224,3115000,0.0,0.0
2019/04/18,30.224,30.653,30.164,30.427,4477100,0.0,0.0
2019/04/22,30.457,30.615,30.314,30.495,2942400,0.0,0.0
2019/04/23,30.502,30.668,30.209,30.607,4088400,0.0,0.0
2019/04/24,30.705,31.276,30.525,30.698,3941600,0.0,0.0
2019/04/25,30.48,31.118,30.465,30.915,3142000,0.0,0.0
2019/04/26,31.021,31.314,31.021,31.163,2819800,0.0,0.0
2019/04/29,31.171,31.209,30.938,31.073,2800300,0.0,0.0
2019/04/30,31.073,31.622,30.961,31.577,4589900,0.0,0.0
2019/05/01,31.426,31.734,31.426,31.517,3545600,0.0,0.0
2019/05/02,31.554,31.682,31.201,31.532,3880200,0.0,0.0
2019/05/03,31.667,31.952,31.554,31.93,3956300,0.0,0.0
2019/05/06,31.733,31.983,31.687,31.763,4577900,0.38,0.0
2019/05/07,31.755,31.945,31.672,31.861,3077200,0.0,0.0
2019/05/08,31.793,31.793,31.376,31.414,5984400,0.0,0.0
2019/05/09,31.445,31.611,31.225,31.354,2600900,0.0,0.0
2019/05/10,31.338,31.952,31.187,31.937,2829800,0.0,0.0
2019/05/13,31.771,32.218,31.748,32.18,3667700,0.0,0.0
2019/05/14,32.112,32.195,31.786,31.915,2748000,0.0,0.0
2019/05/15,31.96,31.998,31.702,31.71,2597900,0.0,0.0
2019/05/16,31.695,32.074,31.589,31.96,2655900,0.0,0.0
2019/05/17,31.717,32.316,31.717,32.195,3145000,0.0,0.0
2019/05/20,32.331,32.513,32.112,32.286,3805800,0.0,0.0
2019/05/21,32.324,32.407,32.119,32.134,2986300,0.0,0.0
2019/05/22,32.187,32.347,31.96,32.324,4032400,0.0,0.0
2019/05/23,32.339,32.764,32.271,32.711,3866100,0.0,0.0
2019/05/24,32.688,32.779,32.46,32.491,2666900,0.0,0.0
2019/05/28,32.506,32.513,31.528,31.566,5841200,0.0,0.0
2019/05/29,31.649,31.649,30.641,31.073,5302200,0.0,0.0
2019/05/30,31.035,31.323,30.959,31.05,2256000,0.0,0.0
2019/05/31,31.156,31.414,31.043,31.263,3368000,0.0,0.0
2019/06/03,31.399,31.642,31.156,31.596,2802600,0.0,0.0
2019/06/04,31.634,31.755,31.058,31.717,2275500,0.0,0.0
2019/06/05,31.854,32.786,31.824,32.65,4374500,0.0,0.0
