Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,115.617,115.758,112.964,114.535,1501300,0.0,0.0
2019-01-03,113.651,115.297,112.052,112.353,1817300,0.0,0.0
2019-01-04,113.999,116.623,113.999,116.068,1487100,0.0,0.0
2019-01-07,116.285,118.072,116.162,117.056,2906500,0.0,0.0
2019-01-08,118.533,119.154,116.943,118.702,1066600,0.0,0.0
2019-01-09,119.558,121.251,119.314,120.687,1857100,0.0,0.0
2019-01-10,120.17,122.117,119.549,122.051,960200,0.0,0.0
2019-01-11,121.543,121.995,120.649,121.477,1466100,0.0,0.0
2019-01-14,120.715,122.728,120.358,121.59,992800,0.0,0.0
2019-01-15,121.929,124.76,121.59,123.688,2168800,0.0,0.0
2019-01-16,123.923,125.381,123.443,124.459,1318000,0.0,0.0
2019-01-17,123.989,126.933,123.932,126.105,961800,0.0,0.0
2019-01-18,127.093,128.015,125.804,126.557,2233600,0.0,0.0
2019-01-22,125.823,126.435,123.697,125.08,2039800,0.0,0.0
2019-01-23,125.212,127.291,124.61,125.851,1561200,0.0,0.0
2019-01-24,125.964,126.754,124.788,124.817,1187300,0.0,0.0
2019-01-25,125.908,126.482,124.732,125.014,1909800,0.0,0.0
2019-01-28,124.271,124.365,122.361,123.914,1812900,0.0,0.0
2019-01-29,126.989,129.906,124.177,129.84,2669700,0.0,0.0
2019-01-30,130.028,131.194,128.777,130.809,2259000,0.0,0.0
2019-01-31,130.649,132.201,130.338,131.157,1880100,0.0,0.0
2019-02-01,130.818,132.605,130.178,131.42,1866700,0.0,0.0
2019-02-04,130.743,131.1,129.454,130.526,1334100,0.0,0.0
2019-02-05,130.818,132.135,130.762,131.429,1037300,0.0,0.0
2019-02-06,130.827,131.768,129.849,131.721,902600,0.0,0.0
2019-02-07,131.26,132.596,130.724,132.276,1241300,0.0,0.0
2019-02-08,131.608,132.097,129.906,131.251,996900,0.0,0.0
2019-02-11,131.072,131.298,129.162,130.432,1015400,0.0,0.0
2019-02-12,130.884,132.191,130.235,131.9,1076400,0.0,0.0
2019-02-13,132.116,132.972,131.373,132.53,745700,0.0,0.0
2019-02-14,131.928,134.289,131.298,133.781,1035600,0.0,0.0
2019-02-15,134.731,135.738,134.157,135.7,1176600,0.0,0.0
2019-02-19,135.277,136.612,134.524,135.07,1418800,0.0,0.0
2019-02-20,134.599,135.126,133.593,133.885,1640900,0.0,0.0
2019-02-21,133.875,134.327,132.784,133.584,1714600,0.0,0.0
2019-02-22,133.885,136.377,133.819,135.493,898100,0.0,0.0
2019-02-25,135.493,136.913,134.59,134.759,1433200,0.0,0.0
2019-02-26,134.825,135.418,133.772,134.063,1332700,0.0,0.0
2019-02-27,133.254,134.675,129.962,130.573,1279300,0.0,0.0
2019-02-28,129.932,132.875,129.932,131.168,1718800,0.4,0.0
2019-03-01,131.47,132.592,130.432,130.63,1997100,0.0,0.0
2019-03-04,131.234,131.621,127.432,128.394,2334500,0.0,0.0
2019-03-05,128.658,128.809,127.149,127.724,2257000,0.0,0.0
2019-03-06,127.423,127.913,121.243,121.442,3543000,0.0,0.0
2019-03-07,121.658,122.262,119.215,119.706,3655600,0.0,0.0
2019-03-08,118.404,119.423,117.017,117.677,1700400,0.0,0.0
2019-03-11,117.649,118.989,117.026,118.762,3133000,0.0,0.0
2019-03-12,119.121,122.102,119.121,121.583,2694800,0.0,0.0
2019-03-13,121.706,124.008,121.092,123.413,1584800,0.0,0.0
2019-03-14,123.413,124.8,123.196,124.309,1756200,0.0,0.0
2019-03-15,125.206,125.923,124.809,124.857,2924400,0.0,0.0
2019-03-18,124.743,127.177,124.196,127.121,2385900,0.0,0.0
2019-03-19,127.479,129.536,126.941,128.885,1767400,0.0,0.0
2019-03-20,128.828,128.96,127.007,127.432,1759900,0.0,0.0
2019-03-21,126.696,129.3,126.413,129.158,770000,0.0,0.0
2019-03-22,128.3,129.007,126.819,126.828,1560100,0.0,0.0
2019-03-25,126.177,126.206,124.121,125.149,1305500,0.0,0.0
