Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,49.527,51.221,49.424,51.077,2420500,0.0,0.0
2019-01-03,50.63,50.63,49.28,49.416,3935400,0.0,0.0
2019-01-04,50.414,51.325,49.959,51.285,4080600,0.0,0.0
2019-01-07,50.99,52.404,50.454,51.924,4119900,0.0,0.0
2019-01-08,52.731,53.011,51.317,52.148,2784000,0.0,0.0
2019-01-09,52.396,53.722,52.22,53.354,2882800,0.0,0.0
2019-01-10,52.979,53.602,52.771,53.139,2699900,0.0,0.0
2019-01-11,52.931,53.906,52.476,53.538,1840600,0.0,0.0
2019-01-14,53.49,55.12,53.163,54.697,3020200,0.0,0.0
2019-01-15,54.697,55.04,54.257,54.856,2201900,0.0,0.0
2019-01-16,55.344,56.686,55.144,56.303,2990100,0.0,0.0
2019-01-17,55.679,57.086,55.44,56.766,4718300,0.0,0.0
2019-01-18,60.321,61.52,55.831,56.966,10251700,0.0,0.0
2019-01-22,55.368,56.406,54.928,56.398,4663200,0.0,0.0
2019-01-23,56.542,56.87,55.775,56.582,2470200,0.0,0.0
2019-01-24,56.502,57.589,56.414,56.982,2977300,0.0,0.0
2019-01-25,57.629,58.396,57.605,58.036,2003100,0.0,0.0
2019-01-28,57.421,57.789,57.062,57.149,3198200,0.0,0.0
2019-01-29,57.03,57.501,56.398,56.43,2931800,0.0,0.0
2019-01-30,56.502,57.165,55.751,56.742,3053000,0.0,0.0
2019-01-31,56.398,56.942,56.239,56.646,3851300,0.0,0.0
2019-02-01,56.87,57.317,56.582,56.862,2856700,0.0,0.0
2019-02-04,57.054,57.277,56.566,56.806,3758400,0.0,0.0
2019-02-05,56.902,57.054,56.319,56.654,1874100,0.0,0.0
2019-02-06,56.438,56.862,55.919,56.119,3692100,0.0,0.0
2019-02-07,55.991,56.287,55.256,55.735,4183200,0.0,0.0
2019-02-08,55.44,55.631,54.249,55.096,2686200,0.0,0.0
2019-02-11,55.328,55.464,54.817,54.96,3035200,0.0,0.0
2019-02-12,55.424,56.095,55.384,55.536,4201800,0.0,0.0
2019-02-13,55.871,55.975,55.496,55.52,3827300,0.0,0.0
2019-02-14,54.952,55.208,53.754,54.856,2352800,0.0,0.0
2019-02-15,55.336,56.91,55.256,56.454,3620600,0.0,0.0
2019-02-19,55.639,57.221,55.488,57.022,2308600,0.0,0.0
2019-02-20,56.982,57.845,56.886,57.717,2366300,0.0,0.0
2019-02-21,57.621,57.829,57.237,57.669,2256200,0.0,0.0
2019-02-22,57.885,58.076,57.461,57.845,2482500,0.0,0.0
2019-02-25,57.629,58.38,57.629,57.901,3278800,0.0,0.0
2019-02-26,57.869,58.588,57.717,58.044,2633100,0.0,0.0
2019-02-27,58.108,58.212,57.693,57.877,1700700,0.0,0.0
2019-02-28,57.964,57.98,57.205,57.421,1806200,0.0,0.0
2019-03-01,57.885,58.612,57.693,58.164,2362700,0.0,0.0
2019-03-04,58.324,58.843,56.918,57.118,1840100,0.0,0.0
2019-03-05,57.07,57.349,56.127,57.149,1583700,0.0,0.0
2019-03-06,57.213,57.453,56.223,56.327,1166900,0.0,0.0
2019-03-07,56.055,56.119,54.377,54.633,3059700,0.0,0.0
2019-03-08,54.193,54.521,53.578,54.409,2059500,0.0,0.0
2019-03-11,54.689,54.984,54.353,54.88,1853100,0.0,0.0
2019-03-12,55.12,55.408,54.992,55.128,1926200,0.0,0.0
2019-03-13,55.512,56.015,54.96,55.807,1620700,0.0,0.0
2019-03-14,55.831,56.502,55.743,56.159,1918200,0.0,0.0
2019-03-15,55.32,56.263,54.896,56.007,4438300,0.0,0.0
2019-03-18,56.303,56.798,56.127,56.582,1946400,0.0,0.0
2019-03-19,57.03,57.237,55.871,56.055,1484600,0.0,0.0
2019-03-20,55.855,55.863,54.521,54.537,2863400,0.0,0.0
2019-03-21,54.129,54.753,53.386,54.393,1936900,0.0,0.0
2019-03-22,53.73,53.874,51.637,51.932,3144900,0.0,0.0
2019-03-25,51.996,52.547,51.501,51.836,1855200,0.0,0.0
2019-03-26,52.356,52.907,52.156,52.875,1397800,0.0,0.0
2019-03-27,52.931,53.051,52.052,52.348,1782200,0.0,0.0
2019-03-28,52.444,52.979,52.244,52.947,1549000,0.0,0.0
2019-03-29,53.454,53.687,52.867,52.955,2106200,0.47,0.0
2019-04-01,53.478,54.693,53.398,54.387,2491600,0.0,0.0
2019-04-02,54.299,54.935,53.985,54.082,1322900,0.0,0.0
2019-04-03,54.645,55.12,54.444,54.741,1179300,0.0,0.0
2019-04-04,54.902,55.707,54.701,55.232,1000300,0.0,0.0
2019-04-05,55.441,55.635,54.894,55.176,1125700,0.0,0.0
2019-04-08,55.2,55.667,54.967,55.643,970600,0.0,0.0
2019-04-09,55.289,55.321,54.468,55.063,1358800,0.0,0.0
2019-04-10,54.717,55.57,54.5,55.522,1477300,0.0,0.0
2019-04-11,55.844,56.616,55.61,55.94,1285000,0.0,0.0
2019-04-12,57.019,57.936,56.681,57.155,1626800,0.0,0.0
2019-04-15,57.051,57.517,56.286,56.423,1163500,0.0,0.0
2019-04-16,56.705,57.767,56.648,57.703,1103100,0.0,0.0
2019-04-17,56.576,56.616,55.401,56.029,2361400,0.0,0.0
2019-04-18,55.932,56.616,55.659,56.294,1799100,0.0,0.0
2019-04-22,56.246,56.592,55.739,56.246,2216800,0.0,0.0
2019-04-23,54.717,54.959,52.03,53.8,6216900,0.0,0.0
2019-04-24,53.494,53.864,52.738,53.213,2561100,0.0,0.0
2019-04-25,52.995,54.484,52.698,53.985,2477300,0.0,0.0
2019-04-26,53.913,54.082,53.076,54.025,1512300,0.0,0.0
2019-04-29,54.13,55.417,54.025,55.039,2136400,0.0,0.0
2019-04-30,55.087,55.272,53.784,54.444,1961000,0.0,0.0
2019-05-01,54.492,54.878,52.979,53.373,3507200,0.0,0.0
2019-05-02,53.462,54.049,52.947,53.518,2152700,0.0,0.0
2019-05-03,53.711,54.283,53.663,54.082,1699100,0.0,0.0
2019-05-06,52.947,53.792,51.869,53.575,1973100,0.0,0.0
2019-05-07,52.714,52.875,51.788,52.295,2757300,0.0,0.0
2019-05-08,52.086,52.81,51.877,51.893,1569100,0.0,0.0
2019-05-09,51.354,52.07,50.646,51.933,2518600,0.0,0.0
2019-05-10,51.893,52.376,51.04,52.15,1770600,0.0,0.0
2019-05-13,50.968,51.482,50.557,50.839,3635500,0.0,0.0
2019-05-14,50.951,51.217,50.485,50.517,2741200,0.0,0.0
2019-05-15,49.913,50.404,49.358,49.736,2184400,0.0,0.0
2019-05-16,49.881,50.348,49.423,49.583,2497500,0.0,0.0
2019-05-17,49.012,49.72,48.57,48.594,1803200,0.0,0.0
2019-05-20,48.385,48.835,47.532,48.159,2831500,0.0,0.0
2019-05-21,48.449,48.755,47.91,48.087,2639200,0.0,0.0
2019-05-22,47.789,48.03,47.604,47.878,1779800,0.0,0.0
2019-05-23,47.435,47.507,46.864,47.186,2635900,0.0,0.0
2019-05-24,47.363,47.684,47.258,47.451,1662500,0.0,0.0
2019-05-28,47.314,47.403,46.767,46.823,2609200,0.0,0.0
2019-05-29,46.526,46.55,45.681,46.437,1800300,0.0,0.0
2019-05-30,46.461,46.671,44.997,45.287,2588400,0.0,0.0
2019-05-31,44.603,45.166,44.434,44.458,2064600,0.0,0.0
2019-06-03,44.401,45.126,44.353,45.061,3200600,0.0,0.0
2019-06-04,45.769,46.413,45.633,46.373,2213400,0.0,0.0
2019-06-05,46.333,46.413,44.659,44.804,3574600,0.0,0.0
2019-06-06,44.715,45.327,44.377,45.238,2497600,0.0,0.0
2019-06-07,45.182,46.051,44.916,45.56,3671700,0.0,0.0
2019-06-10,46.067,46.526,45.375,46.043,3535500,0.0,0.0
2019-06-11,46.252,46.526,43.074,44.345,7511100,0.0,0.0
2019-06-12,44.24,44.788,43.75,44.168,3819600,0.0,0.0
2019-06-13,44.24,44.86,44.08,44.281,2480600,0.0,0.0
2019-06-14,44.289,44.667,44.031,44.546,2531700,0.0,0.0
2019-06-17,44.659,44.675,43.806,43.878,1984900,0.0,0.0
2019-06-18,43.774,44.764,43.476,44.466,2738400,0.0,0.0
2019-06-19,44.587,45.037,43.798,44.063,5482100,0.0,0.0
2019-06-20,44.506,44.796,44.281,44.587,3946000,0.0,0.0
2019-06-21,44.603,44.997,44.393,44.675,6126400,0.0,0.0
2019-06-24,44.933,46.003,44.747,44.844,3418200,0.0,0.0
2019-06-25,44.747,45.279,43.951,45.061,3545000,0.0,0.0
2019-06-26,44.651,44.981,44.144,44.45,3465900,0.0,0.0
2019-06-27,44.546,45.134,44.466,44.78,3086600,0.0,0.0
2019-06-28,45.599,45.997,45.072,45.494,9041900,0.47,0.0
2019-07-01,46.111,46.541,45.624,46.005,3310100,0.0,0.0
2019-07-02,46.005,46.021,45.072,45.299,5238100,0.0,0.0
2019-07-03,45.413,45.875,45.218,45.826,3115900,0.0,0.0
2019-07-05,46.102,46.5,45.859,46.094,2195200,0.0,0.0
2019-07-08,44.804,45.193,44.341,44.682,3869000,0.0,0.0
2019-07-09,44.195,44.836,44.057,44.69,4649200,0.0,0.0
2019-07-10,44.69,44.942,44.074,44.163,3311300,0.0,0.0
2019-07-11,44.163,44.763,44.139,44.666,3941400,0.0,0.0
2019-07-12,44.974,45.145,44.698,44.788,5110400,0.0,0.0
2019-07-15,44.828,45.007,44.195,44.999,4918400,0.0,0.0
2019-07-16,44.999,45.023,44.366,44.487,2571600,0.0,0.0
2019-07-17,44.341,44.658,44.025,44.301,6176300,0.0,0.0
2019-07-18,44.431,45.883,44.414,45.68,4840100,0.0,0.0
2019-07-19,46.614,49.097,46.459,48.756,6409600,0.0,0.0
2019-07-22,48.602,48.724,47.669,48.066,3350800,0.0,0.0
2019-07-23,48.237,48.74,47.912,48.61,3321500,0.0,0.0
2019-07-24,48.399,49.024,48.358,48.367,2750000,0.0,0.0
2019-07-25,48.626,48.626,47.807,48.269,3228500,0.0,0.0
2019-07-26,48.294,49.0,48.058,48.991,2357800,0.0,0.0
2019-07-29,48.829,48.991,47.985,47.985,3807900,0.0,0.0
2019-07-30,47.88,48.131,47.45,47.782,3053800,0.0,0.0
2019-07-31,47.969,48.099,47.019,47.141,3040200,0.0,0.0
2019-08-01,47.003,47.044,44.934,45.112,3983000,0.0,0.0
2019-08-02,45.12,45.567,44.479,45.169,2670300,0.0,0.0
2019-08-05,44.268,44.682,43.157,43.66,4399000,0.0,0.0
2019-08-06,44.049,44.333,42.929,43.416,2845700,0.0,0.0
2019-08-07,42.459,42.873,41.663,42.605,3283800,0.0,0.0
2019-08-08,42.881,43.587,42.881,43.343,2027500,0.0,0.0
2019-08-09,42.962,43.335,42.434,42.978,3479400,0.0,0.0
2019-08-12,42.321,42.434,41.663,41.85,5311400,0.0,0.0
2019-08-13,41.534,42.808,41.428,41.769,2353600,0.0,0.0
