t,ret,sigma2_true
1,-0.0009315537937520333,0.0001
2,0.003871110229998916,0.0001
3,0.01661308676399161,0.0001
4,0.008846161611823534,0.0001
5,0.0019757394354588008,0.0001
6,-0.01342677575404056,0.0001
7,0.01052954967822624,0.0001
8,-0.0023344643857357394,0.0001
9,0.0022285141209307797,0.0001
10,0.009983991004599312,0.0001
11,0.024570735419709427,0.0001
12,-0.016454753659825953,0.0001
13,0.0014451362058297734,0.0001
14,-0.0037182390874949357,0.0001
15,-0.0010617761360687487,0.0001
16,0.01529280486102028,0.0001
17,-0.011619026366891232,0.0001
18,-0.002029310249755984,0.0001
19,0.019598811724730814,0.0001
20,0.012178791073162111,0.0001
21,0.0014146537006920674,0.0001
22,-0.015504689687022675,0.0001
23,-0.008598907943252696,0.0001
24,0.0034638188604286307,0.0001
25,0.010836698155422831,0.0001
26,-0.003359767257378439,0.0001
27,-0.0053251837928835425,0.0001
28,0.0039334375226134045,0.0001
29,-0.0034952818121318464,0.0001
30,-0.007144313545520491,0.0001
31,-0.00748294954453301,0.0001
32,-4.1659794590889754e-06,0.0001
33,0.014397302189634887,0.0001
34,0.011892716027835669,0.0001
35,-0.014642816309229228,0.0001
36,0.004806124105972668,0.0001
37,0.006876029141642464,0.0001
38,0.013210459661424036,0.0001
39,-0.007493147873944046,0.0001
40,-0.003955628665214946,0.0001
41,-0.0038739469616921973,0.0001
42,0.0024836337720550543,0.0001
43,0.003790551239152666,0.0001
44,0.015243503947386999,0.0001
45,-0.015591032204214672,0.0001
46,-0.002101239551768064,0.0001
47,0.015404786259029404,0.0001
48,0.0066859852977436685,0.0001
49,0.0024611569409454842,0.0001
50,-0.009631239004711354,0.0001
51,-0.018573599865603953,0.0001
52,-0.020519046214025595,0.0001
53,-0.010745301179332341,0.0001
54,0.018361565684138003,0.0001
55,0.0065826245636035445,0.0001
56,-0.015199598175637001,0.0001
57,-0.03038538277353355,0.0001
58,0.01374614123379121,0.0001
59,0.0014078541149345576,0.0001
60,-0.008663780163282385,0.0001
61,-0.012797820121330801,0.0001
62,0.006099263029877593,0.0001
63,-0.0028848991247872316,0.0001
64,0.013847710357645213,0.0001
65,0.001784362147951832,0.0001
66,0.025618285719410022,0.0001
67,0.008209782336689085,0.0001
68,0.008327099070549222,0.0001
69,0.007301034290731532,0.0001
70,-0.00017356453184456027,0.0001
71,-0.019084833723658857,0.0001
72,0.005205787299635045,0.0001
73,0.013428314121067786,0.0001
74,0.0026470673492250906,0.0001
75,-0.009848678164192593,0.0001
76,-0.00793819105529938,0.0001
77,-0.003925413387877489,0.0001
78,-0.0023527244133612507,0.0001
79,-0.000986826742936724,0.0001
80,0.0012001247254887141,0.0001
81,-0.012215506627448108,0.0001
82,0.006718397749062481,0.0001
83,-0.001360012668698683,0.0001
84,0.008550198498456379,0.0001
85,-0.007269348547669351,0.0001
86,-0.004720467260025228,0.0001
87,-0.0016292415177683282,0.0001
88,0.006605199645373439,0.0001
89,0.0017310020082553273,0.0001
90,-0.0038605587682300035,0.0001
91,-0.0004912014459177496,0.0001
92,0.0107304434956409,0.0001
93,-0.003330045300714711,0.0001
94,-0.001265288569975463,0.0001
95,0.009131484146481864,0.0001
96,0.005695166034266103,0.0001
97,0.002278094721827514,0.0001
98,-0.007672618808428935,0.0001
99,0.016614326040100637,0.0001
100,0.010604163023844638,0.0001
101,-0.004962054432059993,0.0001
102,-0.008185170275325716,0.0001
103,0.00239519995034609,0.0001
104,0.006110998290460999,0.0001
105,-0.011490782930498154,0.0001
106,0.005761406017045734,0.0001
107,0.004571918680012815,0.0001
108,-0.005826423631861071,0.0001
109,-0.01728128838480362,0.0001
110,-0.004246244016819683,0.0001
111,0.0015928087597939324,0.0001
112,0.004682357638916173,0.0001
113,0.00475148943672588,0.0001
114,0.014542046887806399,0.0001
115,-0.0007952095332378512,0.0001
116,-0.013385888014518104,0.0001
117,-0.00016938278223843528,0.0001
118,-0.0030606421239882417,0.0001
119,-0.01567419002442915,0.0001
120,0.0031449140582930873,0.0001
121,0.0046185131423669866,0.0001
122,0.005995703623383158,0.0001
123,-0.0051180328485956415,0.0001
124,0.003677402902688008,0.0001
125,-0.016332940879308394,0.0001
126,0.0006590972611508001,0.0001
127,-0.013533579368038784,0.0001
128,-0.011738478164140753,0.0001
129,-0.0016486014891644344,0.0001
130,-0.004011654673953165,0.0001
